year,2024,2024,2024,2023,2023,2023,2022,2022,2022,2021,2021,2021,2020,2020,2020,2019,2019,2019,2018,2018,2018,2017,2017,2017,2016,2016,2016,2015,2015,2015,2014,2014,2014,2013,2013,2013,2012,2012,2012,2011,2011,2011,2010,2010,2010,2009,2009,2009,2008,2008,2008,2007,2007,2007,2006,2006,2006,2005,2005,2005,2004,2004,2004,2003,2003,2003,2002,2002,2002,2001,2001,2001,2000,2000,2000,1999,1999,1999,1998,1998,1998,1997,1997,1997,1996,1996,1996
month,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late
January,3163,2785,3164,3113,2878,2846,4307,4343,3995,2963,3009,3092,4623,4595,4605,2738,2658,2518,2954,3038,3207,4344,4144,3998,2253,2307,2598,1958,1909,1905,2472,2339,2258,3946,3898,3750,1333,1257,1399,4402,4664,5081,2214,2281,2308,1612,1577,1665,2529,2446,2312,1527,1474,1428,3378,3284,3164,1118,1127,1128,1560,1435,1450,2662,2700,2650,1148,1245,1268,943,1117,1333,2644,2599,2691,1403,1344,1337,1471,1386,1404,1167,1178,1156,1479,1524,1505
February,3017,3477,3815,2943,3075,3157,4003,4086,4179,3484,3739,4382,4426,4343,4336,2625,2504,2331,4099,4491,4284,3997,4014,4011,2939,3059,3155,1917,1918,2087,2235,2262,2177,3744,3994,4000,1545,1757,2385,4879,4771,4776,2763,3184,3420,1634,1545,1664,2184,2174,2099,1350,1346,1378,3069,3205,3106,1206,1334,1385,1478,1500,1495,2715,2652,2706,1227,1215,1180,1299,1290,1300,3229,3864,3730,1398,1445,1445,1418,1412,1482,1185,1206,1196,1553,1599,1694
March,3909,3436,3774,3361,3575,3550,4223,4424,4620,4536,4762,4889,4332,4314,4388,2316,2250,2208,4297,4292,4278,4004,4015,3934,3753,3838,4047,2218,2299,2417,2084,1939,1891,4013,4083,3996,2904,3173,3325,4676,4749,4646,3977,4403,5081,1913,2276,2549,2023,1953,2012,1380,1329,1331,3138,3291,3552,1379,1444,1518,1562,1671,1857,3065,3584,4108,1174,1193,1160,1328,1456,1748,3606,3629,3627,1453,1418,1264,1527,1646,1936,1230,1264,1478,1811,2069,2567
April,4226,4380,4600,3618,3947,4196,4899,4930,5100,5165,5238,5228,4448,4414,4644,2243,2280,2293,4320,4292,4322,3896,3774,3630,4253,4616,4572,2534,2602,2762,1948,2016,2012,4185,4198,3868,3344,3459,3458,4050,3675,2233,5858,6174,5925,2816,3559,4612,2422,2479,2282,1430,1503,1466,3577,3471,3170,1640,1776,1811,2013,2009,1975,3923,3801,3463,1218,1165,1094,1787,1639,1570,3484,3303,3104,1234,1188,1183,2020,1886,1646,1790,1783,1694,2740,2929,3278
May,4182,3795,3578,4124,4074,4017,5281,4706,3999,4963,3385,3211,5875,4550,4452,2379,2489,2271,3832,3194,2799,2846,2108,2048,3999,3946,3802,2890,3007,3664,2015,1895,1706,3214,3059,2859,3137,2607,2407,1727,1435,1214,4542,4119,3483,4982,5032,3930,2018,1876,1797,1433,1502,1543,2810,2656,2316,1760,1641,1540,1847,1800,1715,3016,2853,2382,1139,1242,1382,1437,1219,1107,2352,2035,1647,1162,1100,1048,1460,1513,1416,1501,1457,1592,2963,2471,2081
June,3663,3468,3599,3779,3641,3919,4065,4181,4150,3255,3228,3159,4460,4268,4375,2425,2699,2922,2667,2717,2806,2085,2264,2274,3333,2816,2791,3441,3434,3205,1596,1801,2054,2736,2703,2760,2245,2092,2277,1218,1236,1201,2751,2659,2559,3298,2683,2479,1678,1563,1666,1457,1527,2156,2109,1849,1760,1509,1438,1467,1542,1455,1703,1761,1444,1486,1620,1506,1579,1818,3132,2680,1301,1230,1580,968,960,1216,1278,1137,963,2051,1869,1573,1569,1465,1825
July,4236,4828,5408,4070,4055,4280,4452,5289,7048,3312,3413,3439,4137,4777,5622,3053,3174,3273,3059,3665,4805,2489,3338,4927,2871,3211,3356,2972,2930,2802,2363,2573,2956,2675,2732,3077,2884,2753,2796,1554,2088,3087,2661,3335,3742,2169,2163,2374,1628,1653,1780,2420,2405,2576,1600,1865,2440,1676,1949,2208,1864,2128,2769,1405,1672,2373,1627,1590,1720,2625,2826,2933,1504,1638,1852,1424,1422,1290,1027,1402,2156,1541,1915,2715,1940,1834,1610
August,5499,6463,7133,5146,5895,5766,6673,6738,6662,4069,4463,4648,5838,7028,9175,3328,3436,3620,5774,6420,7886,5404,5721,6716,3799,4305,6366,2729,2779,2868,3410,3397,3350,3415,3797,4875,2687,2990,3109,4037,4040,4074,4277,4065,4142,2642,2971,2970,2063,2512,2737,2672,2687,2718,2717,3125,3952,2362,2259,2499,3763,3877,3930,2347,2268,2149,2268,2790,3069,2983,3144,3172,2303,2007,1823,1757,2827,3318,2370,2648,3178,2983,2746,2478,1696,1902,1992
September,6870,8304,9581,5522,5509,6193,7985,10171,9034,5272,5438,5528,9621,10999,11798,4478,5333,6423,7071,6176,5809,6883,6548,6148,7992,7980,7746,2857,2751,2717,3835,3950,3345,4902,4505,4243,3411,3537,3847,3762,3609,2706,4811,6461,11228,3080,3054,3134,2882,2863,2594,3148,3801,4196,4100,4051,3587,2990,3463,3502,3845,3663,3178,2259,2811,2928,3660,3709,3552,2960,2784,2322,2283,2768,2589,3106,2630,2636,3955,3423,3021,2084,1898,1561,1923,1609,1310
October,8901,0,0,6937,6525,5325,7857,6089,4745,4984,4181,3878,10919,7704,4999,7491,6719,5791,4671,3912,3484,5754,4216,2991,6821,5049,3823,2748,2631,2384,2928,2579,2338,3591,2724,2259,3921,3658,3475,2339,2291,2182,10349,6512,3704,3152,2739,2342,2187,1977,1806,4114,4087,4156,3077,2415,1750,3523,3495,3519,2623,2121,1746,2985,2978,2870,2780,2122,1627,2061,1742,1326,2497,2078,1789,2689,3032,3052,2763,2601,2073,1332,1164,1080,1121,914,848
