year,2024,2024,2024,2023,2023,2023,2022,2022,2022,2021,2021,2021,2020,2020,2020,2019,2019,2019,2018,2018,2018,2017,2017,2017,2016,2016,2016,2015,2015,2015,2014,2014,2014,2013,2013,2013,2012,2012,2012,2011,2011,2011,2010,2010,2010,2009,2009,2009,2008,2008,2008,2007,2007,2007,2006,2006,2006,2005,2005,2005,2004,2004,2004,2003,2003,2003,2002,2002,2002,2001,2001,2001,2000,2000,2000,1999,1999,1999,1998,1998,1998,1997,1997,1997,1996,1996,1996
Month,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late
January,18430,18530,18544,16366,16408,16397,13340,13293,13447,21753,21777,21907,12299,12107,12183,17301,17323,17359,17557,17745,17807,9894,9768,9768,10608,10608,10608,10715,10729,10729,10005,9995,9995,14575,14575,14518,16767,16871,16933,10728,10800,10800,7600,7600,7600,7100,7100,7100,6829,6829,6792,8166,8166,8166,6713,6714,6729,7006,7163,7163,7617,7617,7652,5220,5220,5220,6580,6580,6580,5720,5720,5720,4970,4970,4970,6467,6477,6473,4078,4064,4050,4390,4356,4323,6163,6176,6266
February,18511,18511,18454,16357,16353,16459,13460,13553,13564,21883,21855,21830,12391,12399,12597,17338,17227,17194,17771,17675,17531,9768,9768,9768,10608,10608,10608,10729,10729,10729,9995,9956,9918,14467,14467,14411,16888,17064,17099,10800,10800,10800,7600,7600,7600,7100,7100,7100,6500,6500,6500,8166,8023,7999,6729,6869,7571,7163,7190,7214,7738,7750,7750,5220,5220,5317,6580,6580,6580,5720,5720,5720,4970,4970,4970,6473,6473,6473,4038,4039,4026,4262,4253,4258,6288,6308,6315
March,18461,18551,18651,16376,16341,16385,13607,13544,13498,21811,21959,21980,12553,12444,12496,17194,17148,17130,17500,17419,17333,9768,9768,9772,10608,10608,10566,10729,10729,10729,9866,9841,9786,14383,14373,14083,17099,17099,17099,10800,10800,10800,7600,7600,7600,7100,7100,7100,6500,6500,6500,8094,7914,7783,7571,7571,7571,7296,7329,7329,7750,7772,7856,5400,5400,5364,6580,6529,6327,5720,5820,5820,4970,4970,4970,6473,6473,6473,4028,4020,4020,4281,4283,4218,6347,6389,6417
April,18640,18659,18715,16309,16386,16319,13376,13347,13370,21763,21665,21327,12571,12607,12607,17111,16772,16611,17293,17228,17209,9809,9825,9831,10471,10397,10289,10729,10729,10729,9764,9764,9764,13871,13855,13794,17099,16994,16866,10800,10800,10800,7600,7600,7600,7100,7100,7100,6500,6500,6615,7664,7617,7700,7571,7120,6969,7329,7471,7471,7883,7883,7839,5360,5360,5360,6155,6051,5945,5820,5820,5820,4996,5020,5020,6455,6499,6527,4027,4020,4029,4117,4102,4081,6416,6400,6400
May,18740,18740,18732,16196,15945,15929,13369,13428,13514,20855,20668,20655,12607,12612,12684,16554,16575,16575,17231,17187,17187,9835,9818,9815,10289,10289,10289,10704,10679,10684,9764,9764,9764,13682,13621,13621,16633,16300,16288,10800,10800,10800,7600,7600,7600,7100,7100,7100,6667,6667,6667,7717,7717,7633,7571,6969,6729,7431,7329,7308,7833,7787,7542,5360,5360,5380,5940,5708,5574,5820,5877,5900,5020,5020,5020,6527,6527,6491,4024,4032,3999,4050,4033,3988,6410,6382,6337
June,18723,18727,18753,16055,16220,16340,13577,13607,13619,20395,20282,20267,12714,12714,12720,16575,16553,16531,17213,17199,17193,9864,9917,10034,10209,10185,10185,10710,10710,10710,9764,9764,9764,13609,13508,13376,16200,16075,16033,10800,11000,11000,7600,7600,7600,7100,7129,7200,6667,6667,6768,7633,7633,7633,6729,6729,6729,7351,7586,7586,7500,7500,7433,5460,5538,5560,5366,5240,5240,6029,6647,7011,5045,5108,5160,6445,6361,5859,4004,4104,4180,3981,3999,4059,6308,6292,6231
July,18748,18733,18718,15969,16192,16312,13598,13639,13840,20253,20173,19977,12776,12807,12847,16561,16734,16700,17193,17185,16990,10063,10174,10205,10185,10185,10140,10718,10741,10741,9729,9729,9729,13327,13223,13193,16033,16033,16028,11000,11000,11000,7600,7600,7600,7375,7400,7400,7061,7257,7257,7633,7633,7633,6729,6729,6729,7586,7604,7633,7400,7400,7400,5604,5660,5660,5235,5220,5007,7038,6900,6627,5170,5100,5051,5718,5703,5643,4212,4253,4236,4067,4049,3988,6132,6083,6063
August,18683,18807,18830,16445,17472,18548,14007,14377,15338,19824,19290,16452,12956,14027,18205,16563,16078,13521,17023,17328,18091,10207,9973,10860,10123,10123,10145,10730,10724,10835,9712,9868,10065,13065,12238,11031,15900,15900,16235,11000,11484,14308,7655,7631,7500,7346,7248,7298,7179,6989,6669,7029,6334,6063,6733,6637,6682,7133,6087,5878,7300,7106,7150,5723,6100,6588,4877,4808,4789,6109,6113,6190,5274,4866,4710,5574,5525,5320,4253,4293,4772,4130,4089,4072,5939,5552,5468
September,18933,19013,18773,18958,18868,18669,15871,16241,16373,16366,16045,15833,21664,21486,21457,13778,13561,13096,19844,19041,18925,12333,14729,15905,10289,10258,10179,10957,10906,10851,10577,10473,10639,10636,10538,10366,16759,16728,16666,19752,19448,18908,7950,7900,7840,7166,7397,7791,6839,6920,7002,5956,6264,6411,7297,7681,8018,6100,6249,6879,7167,7167,7167,7228,7457,7500,5150,5355,5260,6600,6600,6600,5021,5157,5653,5107,4864,4882,6645,6622,6469,4269,4279,4189,5693,5497,5273
October,18430,0,0,18429,18194,17893,16391,16152,16100,15730,15431,15479,21454,21393,21338,12792,12663,12537,18647,18104,17821,16400,16495,16678,10099,10054,9998,10804,10804,10700,10675,10701,10702,10295,10291,10209,16342,15550,15395,18466,18000,17897,9100,10075,10171,7935,8049,8012,6920,6893,6954,6486,6413,6422,8170,8185,8117,7115,7127,7163,7167,7167,7167,7504,7517,7517,5283,5320,5328,6600,6600,6582,5720,5720,5720,4958,5009,5009,6420,6345,6378,4109,4054,4040,5177,5019,4847
