year,2024,2024,2024,2023,2023,2023,2022,2022,2022,2021,2021,2021,2020,2020,2020,2019,2019,2019,2018,2018,2018,2017,2017,2017,2016,2016,2016,2015,2015,2015,2014,2014,2014,2013,2013,2013,2012,2012,2012,2011,2011,2011,2010,2010,2010,2009,2009,2009,2008,2008,2008,2007,2007,2007,2006,2006,2006,2005,2005,2005,2004,2004,2004,2003,2003,2003,2002,2002,2002,2001,2001,2001,2000,2000,2000,1999,1999,1999,1998,1998,1998,1997,1997,1997,1996,1996,1996
Month,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late
January,9599,9962,10020,12734,12632,12692,12619,11856,11965,10028,9904,9797,6861,6858,6988,9133,9244,9261,9662,9698,9612,10496,10262,10140,9867,9808,9876,6764,6564,6540,6695,6590,6214,7274,7242,7197,6698,6812,6890,6879,6847,6834,5892,6108,6122,6224,5944,6068,6764,6415,6846,6400,6477,6594,6137,6182,6175,5953,6143,6214,5794,5923,6042,4911,4824,4905,4044,4183,4523,3603,3551,3588,3554,3550,3530,5497,5498,5483,4429,4406,4545,3985,4198,4482,2952,2931,2896
February,9484,9784,10258,12978,13181,13189,12432,12409,12109,9781,10246,10294,7100,6975,7041,9475,9556,9406,9570,9656,9728,10313,10508,10431,10244,10781,10796,6820,6924,6883,6531,6435,6315,7191,7503,8283,6981,7150,7233,6922,6743,6714,6102,5997,5999,6215,6243,6113,6732,6789,6567,6713,6917,6898,6186,6177,6141,6256,6139,6145,6122,6144,6231,4992,4883,4883,4703,4823,4887,3768,3867,3887,3520,3560,3691,5666,5718,5718,4755,5110,5237,4596,4618,4617,2859,2854,2849
March,9684,9963,9654,12353,12405,12486,11942,12000,12431,10294,10308,10610,6914,6739,6551,9319,9419,9622,9428,9599,9681,10193,10243,10234,11185,11196,11086,6912,7124,7371,6440,6407,6214,7893,7743,7905,7358,7390,6975,6726,6716,6860,6036,6294,6254,6025,5967,6202,6533,6448,6283,6682,6742,6783,6104,6152,6151,6193,6318,6305,6310,6281,6330,4943,4866,4849,4971,5117,5001,3964,3880,3919,3815,3740,3668,5718,5718,5711,5364,5439,5453,4606,4581,4471,2808,2786,2742
April,9069,9021,9497,12371,12247,12144,12820,12732,12902,11149,11393,11594,6658,6909,6761,9583,9724,9693,9667,9742,9810,9853,10104,10251,11350,11371,11474,7451,7458,7305,6150,6261,6249,7888,8338,8641,7016,7194,7321,6755,6730,6681,6352,6145,6311,5977,6235,6006,6498,6519,6333,6877,6760,7031,6161,6055,6042,6346,6329,6299,6428,6515,6511,4880,4921,4958,5086,5063,5054,3811,3842,3830,3630,3615,3694,5666,5638,5089,5445,5456,5566,4438,4423,4445,2705,2706,2700
May,9301,9310,9174,11612,11308,10942,12820,13181,13437,11630,11645,11630,6558,7077,7230,8970,9235,9406,9956,9935,9890,10239,10229,10272,11733,12182,12365,7599,7593,7565,6232,6314,6427,8705,8926,8573,7377,7378,7149,6674,6683,6752,6293,6657,6796,5945,6007,5888,6568,6663,6627,7956,8129,8026,6112,6024,6125,6263,6352,6361,6492,6604,6607,4958,4989,4978,5051,5106,4971,3855,3769,3638,3869,4010,3998,4762,4699,4475,5928,6243,6164,4500,4479,4288,2683,2810,2918
June,10190,10284,10386,10380,10321,10076,13139,13360,13324,11506,11552,11508,7286,7128,7029,9311,9197,9027,9824,9823,9698,10081,9822,9755,12552,12548,12507,7669,7655,7623,6260,6169,6127,8299,8463,8277,7058,6968,6888,6659,6732,6709,6725,6893,7149,5824,5655,5560,6466,6422,6177,7872,7769,7526,6125,6191,6176,6273,6200,6201,6368,6123,5910,4989,5030,5033,4919,4939,5003,3562,3551,3652,3885,3676,3447,4223,3917,3864,5818,5515,5488,4044,4069,4074,2872,2864,2843
July,10424,9568,9983,9257,9838,10099,13228,13202,13514,11413,11574,12128,7210,7447,8484,8808,7942,6896,9597,9377,9429,9448,9521,9534,12055,11554,10994,8357,8932,9182,6200,6100,6169,7815,7427,7340,7027,7269,8268,6713,6614,6642,8577,9323,10306,5693,5665,5453,6195,6401,6056,7162,6823,6969,6060,5398,5439,6160,6008,6128,6009,5993,5874,5019,4916,4875,4917,4883,4803,3690,3703,3663,3440,3440,3440,3818,3780,3636,5421,5370,5383,4162,4236,4300,2914,3035,3288
August,9998,9704,10299,10046,9441,9810,13552,13503,13169,12149,12129,12103,9285,9809,10037,7186,7334,7203,9315,9222,9224,9612,9483,9566,10378,10388,10248,9070,9230,9254,6699,6681,6729,7490,7338,7279,7483,7335,7321,6630,6628,6636,10188,10455,11309,5789,5714,5858,6133,5935,6181,6806,6747,6792,5857,5968,6079,6119,6054,6009,5874,5896,5871,4914,4930,4848,4775,4758,4717,3677,3708,3740,3440,3433,3476,3636,3628,3618,5473,5483,5535,4402,4511,4539,3414,3715,4010
September,9580,9159,10279,8375,8536,8529,13145,13405,13575,12090,12113,12243,10194,10169,10242,7115,7129,7076,9139,9069,9157,10044,9843,9725,10166,10017,10154,9503,9421,9450,6673,6941,6896,7041,6524,6697,7529,7360,7221,6584,6571,6571,11401,11513,11711,5781,5710,5714,6439,6034,6135,6415,6569,6699,6163,6232,6077,6161,6107,6091,5917,5825,5886,4953,5054,5075,4720,4677,4661,3755,3788,3790,3530,3530,3530,3634,3618,3618,5528,5517,5524,4505,4508,4457,3992,3900,3845
October,10337,0,0,9874,9991,9851,13515,13462,13529,12102,12159,12141,10293,10274,10307,7136,7069,7168,9168,9071,8965,9747,9782,9790,10433,10360,10326,9580,9685,9634,6700,6639,6919,6825,6930,6706,7234,7337,7558,6445,6464,6504,11677,12013,12008,5752,5821,5683,6404,6403,6182,6696,6683,6720,6297,6309,6236,6116,6142,6181,5936,5940,5950,5106,5083,5102,4633,4550,4611,3790,3740,3702,3530,3530,3530,3618,3618,3618,5533,5594,5607,4429,4431,4391,3757,3725,3684
