year,Month,Early,Mid,Late
1996,January,1479,1524,1505
1997,January,1167,1178,1156
1998,January,1471,1386,1404
1999,January,1403,1344,1337
2000,January,2644,2599,2691
2001,January,943,1117,1333
2002,January,1148,1245,1268
2003,January,2662,2700,2650
2004,January,1560,1435,1450
2005,January,1118,1127,1128
2006,January,3378,3284,3164
2007,January,1527,1474,1428
2008,January,2529,2446,2312
2009,January,1612,1577,1665
2010,January,2214,2281,2308
2011,January,4402,4664,5081
2012,January,1333,1257,1399
2013,January,3946,3898,3750
2014,January,2472,2339,2258
2015,January,1958,1909,1905
2016,January,2253,2307,2598
2017,January,4344,4144,3998
2018,January,2954,3038,3207
2019,January,2738,2658,2518
2020,January,4623,4595,4605
2021,January,2963,3009,3092
2022,January,4307,4343,3995
2023,January,3113,2878,2846
2024,January,3163,2785,3164
1996,February,1553,1599,1694
1997,February,1185,1206,1196
1998,February,1418,1412,1482
1999,February,1398,1445,1445
2000,February,3229,3864,3730
2001,February,1299,1290,1300
2002,February,1227,1215,1180
2003,February,2715,2652,2706
2004,February,1478,1500,1495
2005,February,1206,1334,1385
2006,February,3069,3205,3106
2007,February,1350,1346,1378
2008,February,2184,2174,2099
2009,February,1634,1545,1664
2010,February,2763,3184,3420
2011,February,4879,4771,4776
2012,February,1545,1757,2385
2013,February,3744,3994,4000
2014,February,2235,2262,2177
2015,February,1917,1918,2087
2016,February,2939,3059,3155
2017,February,3997,4014,4011
2018,February,4099,4491,4284
2019,February,2625,2504,2331
2020,February,4426,4343,4336
2021,February,3484,3739,4382
2022,February,4003,4086,4179
2023,February,2943,3075,3157
2024,February,3017,3477,3815
1996,March,1811,2069,2567
1997,March,1230,1264,1478
1998,March,1527,1646,1936
1999,March,1453,1418,1264
2000,March,3606,3629,3627
2001,March,1328,1456,1748
2002,March,1174,1193,1160
2003,March,3065,3584,4108
2004,March,1562,1671,1857
2005,March,1379,1444,1518
2006,March,3138,3291,3552
2007,March,1380,1329,1331
2008,March,2023,1953,2012
2009,March,1913,2276,2549
2010,March,3977,4403,5081
2011,March,4676,4749,4646
2012,March,2904,3173,3325
2013,March,4013,4083,3996
2014,March,2084,1939,1891
2015,March,2218,2299,2417
2016,March,3753,3838,4047
2017,March,4004,4015,3934
2018,March,4297,4292,4278
2019,March,2316,2250,2208
2020,March,4332,4314,4388
2021,March,4536,4762,4889
2022,March,4223,4424,4620
2023,March,3361,3575,3550
2024,March,3909,3436,3774
1996,April,2740,2929,3278
