year,Month,Early,Mid,Late
1996,January,6163,6176,6266
1997,January,4390,4356,4323
1998,January,4078,4064,4050
1999,January,6467,6477,6473
2000,January,4970,4970,4970
2001,January,5720,5720,5720
2002,January,6580,6580,6580
2003,January,5220,5220,5220
2004,January,7617,7617,7652
2005,January,7006,7163,7163
2006,January,6713,6714,6729
2007,January,8166,8166,8166
2008,January,6829,6829,6792
2009,January,7100,7100,7100
2010,January,7600,7600,7600
2011,January,10728,10800,10800
2012,January,16767,16871,16933
2013,January,14575,14575,14518
2014,January,10005,9995,9995
2015,January,10715,10729,10729
2016,January,10608,10608,10608
2017,January,9894,9768,9768
2018,January,17557,17745,17807
2019,January,17301,17323,17359
2020,January,12299,12107,12183
2021,January,21753,21777,21907
2022,January,13340,13293,13447
2023,January,16366,16408,16397
2024,January,18430,18530,18544
1996,February,6288,6308,6315
1997,February,4262,4253,4258
1998,February,4038,4039,4026
1999,February,6473,6473,6473
2000,February,4970,4970,4970
2001,February,5720,5720,5720
2002,February,6580,6580,6580
2003,February,5220,5220,5317
2004,February,7738,7750,7750
2005,February,7163,7190,7214
2006,February,6729,6869,7571
2007,February,8166,8023,7999
2008,February,6500,6500,6500
2009,February,7100,7100,7100
2010,February,7600,7600,7600
2011,February,10800,10800,10800
2012,February,16888,17064,17099
2013,February,14467,14467,14411
2014,February,9995,9956,9918
2015,February,10729,10729,10729
2016,February,10608,10608,10608
2017,February,9768,9768,9768
2018,February,17771,17675,17531
2019,February,17338,17227,17194
2020,February,12391,12399,12597
2021,February,21883,21855,21830
2022,February,13460,13553,13564
2023,February,16357,16353,16459
2024,February,18511,18511,18454
1996,March,6347,6389,6417
1997,March,4281,4283,4218
1998,March,4028,4020,4020
1999,March,6473,6473,6473
2000,March,4970,4970,4970
2001,March,5720,5820,5820
2002,March,6580,6529,6327
2003,March,5400,5400,5364
2004,March,7750,7772,7856
2005,March,7296,7329,7329
2006,March,7571,7571,7571
2007,March,8094,7914,7783
2008,March,6500,6500,6500
2009,March,7100,7100,7100
2010,March,7600,7600,7600
2011,March,10800,10800,10800
2012,March,17099,17099,17099
2013,March,14383,14373,14083
2014,March,9866,9841,9786
2015,March,10729,10729,10729
2016,March,10608,10608,10566
2017,March,9768,9768,9772
2018,March,17500,17419,17333
2019,March,17194,17148,17130
2020,March,12553,12444,12496
2021,March,21811,21959,21980
2022,March,13607,13544,13498
2023,March,16376,16341,16385
2024,March,18461,18551,18651
1996,April,6416,6400,6400
1997,April,4117,4102,4081
1998,April,4027,4020,4029
1999,April,6455,6499,6527
2000,April,4996,5020,5020
2001,April,5820,5820,5820
2002,April,6155,6051,5945
2003,April,5360,5360,5360
2004,April,7883,7883,7839
2005,April,7329,7471,7471
2006,April,7571,7120,6969
2007,April,7664,7617,7700
2008,April,6500,6500,6615
2009,April,7100,7100,7100
2010,April,7600,7600,7600
2011,April,10800,10800,10800
2012,April,17099,16994,16866
2013,April,13871,13855,13794
2014,April,9764,9764,9764
2015,April,10729,10729,10729
2016,April,10471,10397,10289
2017,April,9809,9825,9831
2018,April,17293,17228,17209
2019,April,17111,16772,16611
2020,April,12571,12607,12607
2021,April,21763,21665,21327
2022,April,13376,13347,13370
2023,April,16309,16386,16319
2024,April,18640,18659,18715
1996,May,6410,6382,6337
1997,May,4050,4033,3988
1998,May,4024,4032,3999
1999,May,6527,6527,6491
2000,May,5020,5020,5020
2001,May,5820,5877,5900
2002,May,5940,5708,5574
2003,May,5360,5360,5380
2004,May,7833,7787,7542
2005,May,7431,7329,7308
2006,May,7571,6969,6729
2007,May,7717,7717,7633
2008,May,6667,6667,6667
2009,May,7100,7100,7100
2010,May,7600,7600,7600
2011,May,10800,10800,10800
2012,May,16633,16300,16288
2013,May,13682,13621,13621
2014,May,9764,9764,9764
2015,May,10704,10679,10684
2016,May,10289,10289,10289
2017,May,9835,9818,9815
2018,May,17231,17187,17187
2019,May,16554,16575,16575
2020,May,12607,12612,12684
2021,May,20855,20668,20655
2022,May,13369,13428,13514
2023,May,16196,15945,15929
2024,May,18740,18740,18732
1996,June,6308,6292,6231
1997,June,3981,3999,4059
1998,June,4004,4104,4180
1999,June,6445,6361,5859
2000,June,5045,5108,5160
2001,June,6029,6647,7011
2002,June,5366,5240,5240
2003,June,5460,5538,5560
2004,June,7500,7500,7433
2005,June,7351,7586,7586
2006,June,6729,6729,6729
2007,June,7633,7633,7633
2008,June,6667,6667,6768
2009,June,7100,7129,7200
2010,June,7600,7600,7600
2011,June,10800,11000,11000
2012,June,16200,16075,16033
2013,June,13609,13508,13376
2014,June,9764,9764,9764
2015,June,10710,10710,10710
2016,June,10209,10185,10185
2017,June,9864,9917,10034
2018,June,17213,17199,17193
2019,June,16575,16553,16531
2020,June,12714,12714,12720
2021,June,20395,20282,20267
2022,June,13577,13607,13619
2023,June,16055,16220,16340
2024,June,18723,18727,18753
1996,July,6132,6083,6063
1997,July,4067,4049,3988
1998,July,4212,4253,4236
1999,July,5718,5703,5643
2000,July,5170,5100,5051
2001,July,7038,6900,6627
2002,July,5235,5220,5007
2003,July,5604,5660,5660
2004,July,7400,7400,7400
2005,July,7586,7604,7633
2006,July,6729,6729,6729
2007,July,7633,7633,7633
2008,July,7061,7257,7257
2009,July,7375,7400,7400
2010,July,7600,7600,7600
2011,July,11000,11000,11000
2012,July,16033,16033,16028
2013,July,13327,13223,13193
2014,July,9729,9729,9729
2015,July,10718,10741,10741
2016,July,10185,10185,10140
2017,July,10063,10174,10205
2018,July,17193,17185,16990
2019,July,16561,16734,16700
2020,July,12776,12807,12847
2021,July,20253,20173,19977
2022,July,13598,13639,13840
2023,July,15969,16192,16312
2024,July,18748,18733,18718
1996,August,5939,5552,5468
1997,August,4130,4089,4072
1998,August,4253,4293,4772
1999,August,5574,5525,5320
2000,August,5274,4866,4710
2001,August,6109,6113,6190
2002,August,4877,4808,4789
2003,August,5723,6100,6588
2004,August,7300,7106,7150
2005,August,7133,6087,5878
2006,August,6733,6637,6682
2007,August,7029,6334,6063
2008,August,7179,6989,6669
2009,August,7346,7248,7298
2010,August,7655,7631,7500
2011,August,11000,11484,14308
2012,August,15900,15900,16235
2013,August,13065,12238,11031
2014,August,9712,9868,10065
2015,August,10730,10724,10835
2016,August,10123,10123,10145
2017,August,10207,9973,10860
2018,August,17023,17328,18091
2019,August,16563,16078,13521
2020,August,12956,14027,18205
