year,Month,Early,Mid,Late
1996,January,2952,2931,2896
1997,January,3985,4198,4482
1998,January,4429,4406,4545
1999,January,5497,5498,5483
2000,January,3554,3550,3530
2001,January,3603,3551,3588
2002,January,4044,4183,4523
2003,January,4911,4824,4905
2004,January,5794,5923,6042
2005,January,5953,6143,6214
2006,January,6137,6182,6175
2007,January,6400,6477,6594
2008,January,6764,6415,6846
2009,January,6224,5944,6068
2010,January,5892,6108,6122
2011,January,6879,6847,6834
2012,January,6698,6812,6890
2013,January,7274,7242,7197
2014,January,6695,6590,6214
2015,January,6764,6564,6540
2016,January,9867,9808,9876
2017,January,10496,10262,10140
2018,January,9662,9698,9612
2019,January,9133,9244,9261
2020,January,6861,6858,6988
2021,January,10028,9904,9797
2022,January,12619,11856,11965
2023,January,12734,12632,12692
2024,January,9599,9962,10020
1996,February,2859,2854,2849
1997,February,4596,4618,4617
1998,February,4755,5110,5237
1999,February,5666,5718,5718
2000,February,3520,3560,3691
2001,February,3768,3867,3887
2002,February,4703,4823,4887
2003,February,4992,4883,4883
2004,February,6122,6144,6231
2005,February,6256,6139,6145
2006,February,6186,6177,6141
2007,February,6713,6917,6898
2008,February,6732,6789,6567
2009,February,6215,6243,6113
2010,February,6102,5997,5999
2011,February,6922,6743,6714
2012,February,6981,7150,7233
2013,February,7191,7503,8283
2014,February,6531,6435,6315
2015,February,6820,6924,6883
2016,February,10244,10781,10796
2017,February,10313,10508,10431
2018,February,9570,9656,9728
2019,February,9475,9556,9406
2020,February,7100,6975,7041
2021,February,9781,10246,10294
2022,February,12432,12409,12109
2023,February,12978,13181,13189
2024,February,9484,9784,10258
1996,March,2808,2786,2742
1997,March,4606,4581,4471
1998,March,5364,5439,5453
1999,March,5718,5718,5711
2000,March,3815,3740,3668
2001,March,3964,3880,3919
2002,March,4971,5117,5001
2003,March,4943,4866,4849
2004,March,6310,6281,6330
2005,March,6193,6318,6305
2006,March,6104,6152,6151
2007,March,6682,6742,6783
2008,March,6533,6448,6283
2009,March,6025,5967,6202
2010,March,6036,6294,6254
2011,March,6726,6716,6860
2012,March,7358,7390,6975
2013,March,7893,7743,7905
2014,March,6440,6407,6214
2015,March,6912,7124,7371
2016,March,11185,11196,11086
2017,March,10193,10243,10234
2018,March,9428,9599,9681
2019,March,9319,9419,9622
2020,March,6914,6739,6551
2021,March,10294,10308,10610
2022,March,11942,12000,12431
2023,March,12353,12405,12486
2024,March,9684,9963,9654
1996,April,2705,2706,2700
1997,April,4438,4423,4445
1998,April,5445,5456,5566
1999,April,5666,5638,5089
2000,April,3630,3615,3694
2001,April,3811,3842,3830
2002,April,5086,5063,5054
2003,April,4880,4921,4958
2004,April,6428,6515,6511
2005,April,6346,6329,6299
2006,April,6161,6055,6042
2007,April,6877,6760,7031
2008,April,6498,6519,6333
2009,April,5977,6235,6006
2010,April,6352,6145,6311
2011,April,6755,6730,6681
2012,April,7016,7194,7321
2013,April,7888,8338,8641
2014,April,6150,6261,6249
2015,April,7451,7458,7305
2016,April,11350,11371,11474
2017,April,9853,10104,10251
2018,April,9667,9742,9810
2019,April,9583,9724,9693
2020,April,6658,6909,6761
2021,April,11149,11393,11594
2022,April,12820,12732,12902
2023,April,12371,12247,12144
2024,April,9069,9021,9497
1996,May,2683,2810,2918
1997,May,4500,4479,4288
1998,May,5928,6243,6164
1999,May,4762,4699,4475
2000,May,3869,4010,3998
2001,May,3855,3769,3638
2002,May,5051,5106,4971
2003,May,4958,4989,4978
2004,May,6492,6604,6607
2005,May,6263,6352,6361
2006,May,6112,6024,6125
2007,May,7956,8129,8026
2008,May,6568,6663,6627
2009,May,5945,6007,5888
2010,May,6293,6657,6796
2011,May,6674,6683,6752
2012,May,7377,7378,7149
2013,May,8705,8926,8573
2014,May,6232,6314,6427
2015,May,7599,7593,7565
2016,May,11733,12182,12365
2017,May,10239,10229,10272
2018,May,9956,9935,9890
2019,May,8970,9235,9406
2020,May,6558,7077,7230
2021,May,11630,11645,11630
2022,May,12820,13181,13437
2023,May,11612,11308,10942
2024,May,9301,9310,9174
1996,June,2872,2864,2843
1997,June,4044,4069,4074
1998,June,5818,5515,5488
1999,June,4223,3917,3864
2000,June,3885,3676,3447
2001,June,3562,3551,3652
2002,June,4919,4939,5003
2003,June,4989,5030,5033
2004,June,6368,6123,5910
2005,June,6273,6200,6201
2006,June,6125,6191,6176
2007,June,7872,7769,7526
2008,June,6466,6422,6177
2009,June,5824,5655,5560
2010,June,6725,6893,7149
2011,June,6659,6732,6709
2012,June,7058,6968,6888
2013,June,8299,8463,8277
2014,June,6260,6169,6127
2015,June,7669,7655,7623
2016,June,12552,12548,12507
2017,June,10081,9822,9755
2018,June,9824,9823,9698
2019,June,9311,9197,9027
2020,June,7286,7128,7029
2021,June,11506,11552,11508
2022,June,13139,13360,13324
2023,June,10380,10321,10076
2024,June,10190,10284,10386
1996,July,2914,3035,3288
1997,July,4162,4236,4300
1998,July,5421,5370,5383
1999,July,3818,3780,3636
2000,July,3440,3440,3440
2001,July,3690,3703,3663
2002,July,4917,4883,4803
2003,July,5019,4916,4875
2004,July,6009,5993,5874
2005,July,6160,6008,6128
2006,July,6060,5398,5439
2007,July,7162,6823,6969
2008,July,6195,6401,6056
2009,July,5693,5665,5453
2010,July,8577,9323,10306
2011,July,6713,6614,6642
2012,July,7027,7269,8268
2013,July,7815,7427,7340
2014,July,6200,6100,6169
2015,July,8357,8932,9182
2016,July,12055,11554,10994
2017,July,9448,9521,9534
2018,July,9597,9377,9429
2019,July,8808,7942,6896
2020,July,7210,7447,8484
2021,July,11413,11574,12128
2022,July,13228,13202,13514
2023,July,9257,9838,10099
2024,July,10424,9568,9983
1996,August,3414,3715,4010
1997,August,4402,4511,4539
1998,August,5473,5483,5535
1999,August,3636,3628,3618
2000,August,3440,3433,3476
2001,August,3677,3708,3740
2002,August,4775,4758,4717
2003,August,4914,4930,4848
2004,August,5874,5896,5871
2005,August,6119,6054,6009
2006,August,5857,5968,6079
2007,August,6806,6747,6792
2008,August,6133,5935,6181
2009,August,5789,5714,5858
2010,August,10188,10455,11309
2011,August,6630,6628,6636
2012,August,7483,7335,7321
2013,August,7490,7338,7279
2014,August,6699,6681,6729
2015,August,9070,9230,9254
2016,August,10378,10388,10248
2017,August,9612,9483,9566
2018,August,9315,9222,9224
2019,August,7186,7334,7203
2020,August,9285,9809,10037
2021,August,12149,12129,12103
2022,August,13552,13503,13169
2023,August,10046,9441,9810
2024,August,9998,9704,10299
1996,September,3992,3900,3845
1997,September,4505,4508,4457
1998,September,5528,5517,5524
1999,September,3634,3618,3618
2000,September,3530,3530,3530
2001,September,3755,3788,3790
2002,September,4720,4677,4661
2003,September,4953,5054,5075
2004,September,5917,5825,5886
2005,September,6161,6107,6091
2006,September,6163,6232,6077
2007,September,6415,6569,6699
2008,September,6439,6034,6135
2009,September,5781,5710,5714
2010,September,11401,11513,11711
2011,September,6584,6571,6571
2012,September,7529,7360,7221
2013,September,7041,6524,6697
2014,September,6673,6941,6896
2015,September,9503,9421,9450
2016,September,10166,10017,10154
2017,September,10044,9843,9725
2018,September,9139,9069,9157
2019,September,7115,7129,7076
2020,September,10194,10169,10242
2021,September,12090,12113,12243
2022,September,13145,13405,13575
2023,September,8375,8536,8529
2024,September,9580,9159,10279
1996,October,3757,3725,3684
1997,October,4429,4431,4391
1998,October,5533,5594,5607
1999,October,3618,3618,3618
2000,October,3530,3530,3530
2001,October,3790,3740,3702
2002,October,4633,4550,4611
2003,October,5106,5083,5102
2004,October,5936,5940,5950
2005,October,6116,6142,6181
2006,October,6297,6309,6236
2007,October,6696,6683,6720
2008,October,6404,6403,6182
2009,October,5752,5821,5683
2010,October,11677,12013,12008
2011,October,6445,6464,6504
2012,October,7234,7337,7558
2013,October,6825,6930,6706
2014,October,6700,6639,6919
2015,October,9580,9685,9634
2016,October,10433,10360,10326
2017,October,9747,9782,9790
2018,October,9168,9071,8965
2019,October,7136,7069,7168
2020,October,10293,10274,10307
2021,October,12102,12159,12141
2022,October,13515,13462,13529
2023,October,9874,9991,9851
2024,October,10337,0,0
1996,November,3655,3635,3679
1997,November,4360,4348,4421
1998,November,5647,5653,5645
1999,November,3618,3587,3573
2000,November,3530,3530,3530
2001,November,3778,3813,3789
2002,November,4628,4568,4737
2003,November,5058,4982,4901
2004,November,5737,5736,5795
2005,November,6172,6113,5680
2006,November,6512,6512,6357
2007,November,6782,6679,6319
2008,November,6183,6415,6078
