year,Month,Early,Mid,Late
1996,January,3228,3189,3154
1997,January,6068,6221,6527
1998,January,7454,7273,7273
1999,January,2391,2523,2715
2000,January,2360,2383,2371
2001,January,7203,7619,8153
2002,January,5859,6012,6024
2003,January,4454,4475,4496
2004,January,4580,4617,4689
2005,January,8290,8591,8617
2006,January,5626,5682,5675
2007,January,5817,5886,5979
2008,January,4620,4640,4469
2009,January,7017,6765,6972
2010,January,6931,7279,8008
2011,January,8044,8153,8210
2012,January,8129,8202,8314
2013,January,9457,9482,9581
2014,January,7306,7436,7496
2015,January,10617,10847,10979
2016,January,10229,10372,10472
2017,January,6722,7011,7184
2018,January,8773,8814,8894
2019,January,15722,15809,15925
2020,January,12393,12452,12383
2021,January,10730,10689,10567
2022,January,8031,8072,8204
2023,January,12721,12941,13325
2024,January,15288,15715,15634
1996,February,3171,3204,3193
1997,February,6998,7280,7289
1998,February,7213,7101,6995
1999,February,2804,2845,2838
2000,February,2380,2380,2380
2001,February,9096,9680,9660
2002,February,6080,6036,5929
2003,February,4557,4565,4564
2004,February,4797,4850,5100
2005,February,8678,8694,8752
2006,February,5789,5761,5748
2007,February,6054,6221,6117
2008,February,4350,4532,4554
2009,February,7111,7167,7169
2010,February,8208,8541,8699
2011,February,8352,8254,8262
2012,February,8128,7912,7947
2013,February,9607,9691,9809
2014,February,7473,7594,7753
2015,February,11207,11402,11113
2016,February,10592,10556,10415
2017,February,7228,7233,7256
2018,February,8916,9028,8960
2019,February,16025,16018,16028
2020,February,11668,11215,12353
2021,February,10604,10689,10708
2022,February,8387,8478,8302
2023,February,13611,13552,13892
2024,February,15685,15682,15709
1996,March,3206,3161,3174
1997,March,7291,7179,7268
1998,March,7011,6959,6854
1999,March,2800,2792,2776
2000,March,2318,2280,2280
2001,March,9551,9570,9440
2002,March,6080,6028,6029
2003,March,4515,4534,4499
2004,March,5535,5904,6226
2005,March,8907,8942,8854
2006,March,5612,5531,5526
2007,March,6106,6049,6011
2008,March,4578,4606,4639
2009,March,7164,7230,7224
2010,March,8782,8833,8974
2011,March,8374,8394,8268
2012,March,7977,7889,8130
2013,March,10108,10472,10585
2014,March,7574,7949,9243
2015,March,11386,11070,10862
2016,March,10833,10830,10857
2017,March,7076,7185,7365
2018,March,8968,8991,9058
2019,March,15818,16063,16355
2020,March,13149,13619,13531
2021,March,10690,10684,10691
2022,March,8117,8417,8504
2023,March,13275,13668,13894
2024,March,15747,15797,16091
1996,April,3203,3179,3179
1997,April,7510,7896,8053
1998,April,6769,6651,6507
1999,April,2824,2832,2832
