year,Month,Early,Mid,Late
2000,January,2707,3369,0
2001,January,2639,2399,2381
2002,January,5233,5722,2258
2003,January,3899,4451,4560
2004,January,3207,3463,3710
2005,January,6384,6766,3118
2006,January,4033,3933,5161
2007,January,5450,5245,4049
2008,January,4326,5681,5575
2009,January,4275,4603,4068
2010,January,8629,10465,3841
2011,January,6529,6845,7859
2012,January,8360,8017,5504
2013,January,4669,4969,9507
2014,January,5896,6001,4644
2015,January,6960,5556,6504
2016,January,7003,6991,6895
2017,January,7283,6579,7222
2018,January,5517,5862,6000
2019,January,5181,5255,5315
2020,January,6732,6842,7170
2021,January,10110,12078,13987
2022,January,7577,7862,8974
2023,January,8528,10224,10118
2024,January,10615,9971,11140
2000,February,2675,2621,0
2001,February,2281,2019,2957
2002,February,5997,5534,2241
2003,February,4213,4154,6371
2004,February,3926,3597,4218
2005,February,4002,3585,3818
2006,February,3900,4099,5301
2007,February,5676,5835,3667
2008,February,4324,3563,5415
2009,February,5002,4913,5809
2010,February,8239,7663,4677
2011,February,5710,5698,10510
2012,February,7349,5752,6171
2013,February,4796,3975,7910
2014,February,6067,5784,5323
2015,February,8107,5506,5889
2016,February,7868,8408,7955
2017,February,7625,8219,8385
2018,February,6035,6406,5254
2019,February,6040,5566,4980
2020,February,6334,5615,5604
2021,February,11779,10152,8247
2022,February,9672,8891,8274
2023,February,8653,7595,7095
2024,February,12204,11703,9506
2000,March,2275,1996,0
2001,March,1668,1340,2438
2002,March,4121,3740,1799
2003,March,3832,3407,4913
2004,March,3322,3041,4089
2005,March,3074,3023,3324
2006,March,3108,2685,3443
2007,March,4757,3600,3468
2008,March,3006,2807,5648
2009,March,4582,4677,3426
2010,March,6452,5621,4649
2011,March,5080,5030,7566
2012,March,4496,4081,5719
2013,March,3283,3330,5283
2014,March,3865,4525,3536
2015,March,6887,5292,4432
2016,March,7834,6927,6123
2017,March,7877,6852,6170
2018,March,4216,3589,2758
2019,March,4795,3966,3831
2020,March,5205,4707,4472
2021,March,6871,5668,5091
2022,March,8074,7126,5254
2023,March,6283,5732,5021
2024,March,8269,8200,8257
2000,April,1527,1399,0
2001,April,1352,1531,1770
2002,April,3142,3225,1272
2003,April,2857,2748,3321
2004,April,2503,2108,3052
2005,April,3145,3386,2714
2006,April,2750,2851,3078
2007,April,2733,2430,2590
2008,April,2768,2998,3002
2009,April,4775,4814,2515
2010,April,4829,4569,4972
2011,April,4271,4213,5786
2012,April,4115,4158,4562
2013,April,3015,3416,3641
2014,April,4059,3736,3106
2015,April,4656,3561,3539
2016,April,5049,4730,4245
2017,April,5032,4230,3898
2018,April,2448,2653,3320
2019,April,3576,3616,3505
2020,April,4547,4724,5666
2021,April,4608,4575,5044
2022,April,4539,4443,4801
2023,April,4747,4701,5417
2024,April,7465,6951,8021
2000,May,1756,1976,0
2001,May,2101,2105,1494
2002,May,3357,3408,1951
2003,May,2722,2727,3290
2004,May,2380,2683,2698
2005,May,3953,3864,2158
2006,May,2854,2917,3910
2007,May,2569,3051,2768
2008,May,3411,3430,2480
2009,May,4686,4851,3249
2010,May,4486,4498,4803
2011,May,4228,4941,4429
2012,May,3963,3692,3997
2013,May,4858,5129,4063
2014,May,4868,4772,4318
2015,May,5110,4506,4832
2016,May,4422,5238,5455
2017,May,3846,4459,4621
2018,May,4111,4256,4447
2019,May,3643,4320,5457
2020,May,6149,6061,6434
2021,May,5481,5729,5276
2022,May,5101,5516,6599
2023,May,6797,7183,7994
2024,May,8326,8216,8115
2000,June,2781,2838,0
2001,June,2220,2113,2319
2002,June,3841,3929,2154
2003,June,2779,2880,3594
2004,June,3061,3056,2750
2005,June,2966,3313,2901
2006,June,3385,3939,3564
2007,June,3873,3418,2928
2008,June,3886,4226,3415
2009,June,4780,5102,3469
2010,June,5010,4745,4741
2011,June,5404,6555,4749
2012,June,3639,3716,5367
2013,June,4907,5163,3626
2014,June,5336,4724,5152
2015,June,6172,4444,4434
2016,June,5501,6120,6798
2017,June,4420,4354,5116
2018,June,4794,5197,5258
2019,June,5944,7084,7793
2020,June,7018,7062,6257
2021,June,5210,5831,5956
2022,June,7714,8653,10440
2023,June,7869,8866,10523
2024,June,8710,9302,10448
2000,July,2636,2404,0
2001,July,2155,1992,2731
2002,July,3823,3822,2150
2003,July,3025,3356,3894
2004,July,3966,3699,3002
2005,July,4059,4443,3264
2006,July,3701,3098,3524
2007,July,2774,3047,4144
2008,July,4903,4344,2869
2009,July,6108,6213,5123
2010,July,6406,7356,5602
2011,July,7230,5000,5160
2012,July,6171,5979,8608
2013,July,4624,4359,5247
2014,July,4900,5538,5083
2015,July,6363,6083,5770
2016,July,6691,6173,6299
2017,July,5772,5618,5899
2018,July,5394,7201,7134
2019,July,7158,7591,7187
2020,July,6073,5931,5291
2021,July,5858,5919,6860
2022,July,10907,10566,10165
2023,July,9839,10035,12177
2024,July,11016,10780,11177
2000,August,2793,2878,0
2001,August,2389,2971,2638
2002,August,4143,4340,1951
2003,August,3686,4318,3894
2004,August,3082,3155,3544
2005,August,5552,5694,2965
2006,August,2800,3096,4457
2007,August,3987,3972,2918
2008,August,3923,3603,3585
2009,August,5979,6164,4190
2010,August,7405,7159,6080
2011,August,3914,5199,7248
2012,August,5634,5958,3739
2013,August,4457,4319,5844
2014,August,5028,4723,4421
2015,August,6865,4354,4735
2016,August,6414,6546,7556
2017,August,6094,5954,5620
2018,August,7005,7335,7087
2019,August,5966,5611,5488
2020,August,5584,7278,9720
2021,August,7700,8592,8981
2022,August,9408,9029,9119
2023,August,13689,13075,11340
2024,August,10813,10667,12875
2000,September,2472,2343,0
2001,September,4121,4504,2751
2002,September,5156,5215,3652
2003,September,3775,3562,4624
2004,September,3183,2964,4122
2005,September,4792,3971,2956
2006,September,4417,5726,5638
2007,September,3629,3332,3696
2008,September,3367,3482,3658
2009,September,7934,8910,3208
2010,September,5567,4853,7352
2011,September,6461,6789,6394
2012,September,6332,5905,6197
2013,September,4983,5548,5859
2014,September,5060,5390,4381
2015,September,6518,5667,5353
2016,September,7587,6775,5454
2017,September,5362,4728,4778
2018,September,6543,5806,5665
2019,September,5186,5659,6084
2020,September,10493,10459,9994
2021,September,7740,7939,8222
2022,September,10664,10785,10106
2023,September,9654,8579,8603
2024,September,14885,13922,12180
2000,October,1890,1726,0
2001,October,4105,3508,2261
2002,October,5416,5136,4127
2003,October,3589,3191,5413
2004,October,2851,2867,3477
2005,October,3158,2702,2754
2006,October,5707,4985,3631
2007,October,3019,2936,5930
2008,October,3587,3461,3150
2009,October,7434,5850,3666
2010,October,4324,4251,8261
2011,October,5755,4587,4541
2012,October,4047,3528,7032
2013,October,4914,4801,5030
2014,October,3627,3992,5360
2015,October,5628,4435,4031
2016,October,5338,5327,6178
2017,October,4909,4298,3972
2018,October,5282,5027,4956
2019,October,5867,5652,5935
2020,October,7923,5820,5615
2021,October,6947,7494,8787
2022,October,8727,7539,7230
2023,October,10143,10202,8291
2024,October,11328,0,0
2000,November,1318,1373,0
2001,November,3568,4210,1372
2002,November,4568,4115,3439
2003,November,2918,2749,4930
2004,November,2675,2412,3081
2005,November,2888,2893,2887
2006,November,4245,4197,2601
2007,November,2826,2647,4574
2008,November,2946,2765,2859
2009,November,5236,5160,3036
2010,November,3244,2338,5129
2011,November,4044,4216,3876
2012,November,3709,3848,4146
2013,November,3029,2846,3539
2014,November,4165,3826,3935
2015,November,7438,3678,3702
2016,November,6798,8025,7637
2017,November,3834,3735,3422
2018,November,4817,4734,4289
2019,November,5646,5266,4948
2020,November,6110,7042,7276
2021,November,9699,8004,6806
2022,November,6928,6967,6083
2023,November,6369,5505,6065
2024,November,0,0,0
2000,December,1738,1859,0
2001,December,4589,4350,1694
2002,December,3417,3423,4523
2003,December,2700,2830,3643
2004,December,3407,4120,2671
2005,December,3527,3690,3101
2006,December,4791,5136,3380
2007,December,3546,3974,4582
2008,December,2995,3168,3025
2009,December,5460,6852,2894
2010,December,4268,4549,5395
2011,December,6614,8641,3132
2012,December,4336,4352,5002
2013,December,3982,4632,4158
2014,December,6657,6092,3355
2015,December,7007,5313,6248
2016,December,6811,6856,7286
2017,December,3299,3765,4898
2018,December,4040,4211,4620
2019,December,5235,5795,6310
2020,December,6933,7069,8180
2021,December,6096,6313,7008
2022,December,5840,5832,6881
2023,December,8193,10122,11382
2024,December,0,0,0
