year,Month,Early,Mid,Late
2015,January,0,0,0
2016,January,23345,23345,22469
2017,January,19745,19596,19633
2018,January,31190,31206,31256
2019,January,31863,31920,31888
2020,January,26209,26336,26321
2021,January,37669,38313,39023
2022,January,30320,30310,30901
2023,January,30329,30202,30179
2024,January,34409,34777,34827
2015,February,0,0,0
2016,February,21230,21600,21603
2017,February,19866,19898,20123
2018,February,31229,31115,31268
2019,February,31876,31888,31923
2020,February,26344,25828,25899
2021,February,39011,38837,38890
2022,February,30950,30877,30798
2023,February,30428,31274,31956
2024,February,35591,36432,36486
2015,March,0,0,0
2016,March,22356,22532,22505
2017,March,20089,20194,20138
2018,March,31335,31322,31272
2019,March,31928,31948,31984
2020,March,26255,26359,26500
2021,March,38883,38438,36957
2022,March,30664,30543,30587
2023,March,32539,33273,33898
2024,March,35208,34095,33651
2015,April,0,0,0
2016,April,22441,22431,22309
2017,April,20039,19928,20203
2018,April,31274,31260,31371
2019,April,31877,31731,31229
2020,April,26486,26425,26328
2021,April,36960,37152,37351
2022,April,30573,30505,30535
2023,April,34283,33585,33471
2024,April,34221,34568,33994
2015,May,0,0,0
2016,May,22260,22247,22258
2017,May,20199,19934,19694
2018,May,31446,31307,31318
2019,May,31366,31292,31118
2020,May,26320,26203,26208
2021,May,37397,37600,37591
2022,May,29681,29613,29716
2023,May,34330,34400,34367
2024,May,33915,33762,33636
2015,June,23532,23532,23541
2016,June,22388,22077,22137
2017,June,19655,19702,19891
2018,June,31500,31195,31124
2019,June,30826,30761,30865
2020,June,26138,26048,26089
2021,June,37578,37576,37881
2022,June,29779,29889,29933
2023,June,34260,34354,34355
2024,June,35361,35687,35667
2015,July,23967,23997,24063
2016,July,22415,22527,22527
2017,July,20319,20366,20530
2018,July,31006,31049,31336
2019,July,30659,30428,30397
2020,July,26053,25982,26059
2021,July,38005,39162,40030
2022,July,29925,29874,29793
2023,July,33599,33700,33702
2024,July,35644,35677,35770
2015,August,24053,24039,24039
2016,August,22527,22527,21297
2017,August,20595,20595,21010
2018,August,31495,32252,32594
2019,August,30360,30313,29970
2020,August,25916,26972,29501
2021,August,39211,38792,35170
2022,August,29784,29800,30092
2023,August,33747,33723,34029
2024,August,35323,35035,35141
2015,September,24364,22938,23300
2016,September,21123,21116,21211
2017,September,21530,22862,24365
2018,September,32902,32984,32933
2019,September,29457,29248,29032
2020,September,31479,32088,32565
2021,September,34924,34419,34345
2022,September,30326,30728,31337
2023,September,36256,36878,36963
2024,September,34621,35095,35302
2015,October,24728,24557,24583
2016,October,21547,21756,21505
2017,October,24978,27395,28450
2018,October,32927,32648,32488
2019,October,28499,28207,27463
2020,October,32797,33718,35143
2021,October,34334,34090,33895
2022,October,31624,31136,30973
2023,October,36401,35578,34817
2024,October,34977,0,0
2015,November,24320,23752,23335
2016,November,20661,19093,18690
2017,November,29320,30590,30641
2018,November,31933,31753,31775
2019,November,26124,25588,25372
2020,November,35522,35020,35543
2021,November,33378,31870,30732
2022,November,31043,29950,30033
2023,November,31471,29995,30504
2024,November,0,0,0
2015,December,22985,22986,23240
2016,December,18942,19543,19689
2017,December,30791,31118,31174
2018,December,31944,32281,32016
2019,December,25276,25774,26081
2020,December,35678,36030,36682
2021,December,30510,30894,30439
2022,December,30080,30248,30224
2023,December,33199,33221,33372
2024,December,0,0,0
