date,data
1996-January-Early,1479
1996-January-Mid,1524
1996-January-Late,1505
1997-January-Early,1167
1997-January-Mid,1178
1997-January-Late,1156
1998-January-Early,1471
1998-January-Mid,1386
1998-January-Late,1404
1999-January-Early,1403
1999-January-Mid,1344
1999-January-Late,1337
2000-January-Early,2644
2000-January-Mid,2599
2000-January-Late,2691
2001-January-Early,943
2001-January-Mid,1117
2001-January-Late,1333
2002-January-Early,1148
2002-January-Mid,1245
2002-January-Late,1268
2003-January-Early,2662
2003-January-Mid,2700
2003-January-Late,2650
2004-January-Early,1560
2004-January-Mid,1435
2004-January-Late,1450
2005-January-Early,1118
2005-January-Mid,1127
2005-January-Late,1128
2006-January-Early,3378
2006-January-Mid,3284
2006-January-Late,3164
2007-January-Early,1527
2007-January-Mid,1474
2007-January-Late,1428
2008-January-Early,2529
2008-January-Mid,2446
2008-January-Late,2312
2009-January-Early,1612
2009-January-Mid,1577
2009-January-Late,1665
2010-January-Early,2214
2010-January-Mid,2281
2010-January-Late,2308
2011-January-Early,4402
2011-January-Mid,4664
2011-January-Late,5081
2012-January-Early,1333
2012-January-Mid,1257
2012-January-Late,1399
2013-January-Early,3946
2013-January-Mid,3898
2013-January-Late,3750
2014-January-Early,2472
2014-January-Mid,2339
2014-January-Late,2258
2015-January-Early,1958
2015-January-Mid,1909
2015-January-Late,1905
2016-January-Early,2253
2016-January-Mid,2307
2016-January-Late,2598
2017-January-Early,4344
2017-January-Mid,4144
2017-January-Late,3998
2018-January-Early,2954
2018-January-Mid,3038
2018-January-Late,3207
2019-January-Early,2738
2019-January-Mid,2658
2019-January-Late,2518
2020-January-Early,4623
2020-January-Mid,4595
2020-January-Late,4605
2021-January-Early,2963
2021-January-Mid,3009
2021-January-Late,3092
2022-January-Early,4307
2022-January-Mid,4343
2022-January-Late,3995
2023-January-Early,3113
2023-January-Mid,2878
2023-January-Late,2846
2024-January-Early,3163
2024-January-Mid,2785
2024-January-Late,3164
1996-February-Early,1553
1996-February-Mid,1599
1996-February-Late,1694
1997-February-Early,1185
1997-February-Mid,1206
1997-February-Late,1196
1998-February-Early,1418
1998-February-Mid,1412
1998-February-Late,1482
1999-February-Early,1398
1999-February-Mid,1445
1999-February-Late,1445
2000-February-Early,3229
2000-February-Mid,3864
2000-February-Late,3730
2001-February-Early,1299
2001-February-Mid,1290
2001-February-Late,1300
2002-February-Early,1227
2002-February-Mid,1215
2002-February-Late,1180
2003-February-Early,2715
2003-February-Mid,2652
2003-February-Late,2706
2004-February-Early,1478
2004-February-Mid,1500
2004-February-Late,1495
2005-February-Early,1206
2005-February-Mid,1334
2005-February-Late,1385
2006-February-Early,3069
2006-February-Mid,3205
2006-February-Late,3106
2007-February-Early,1350
2007-February-Mid,1346
2007-February-Late,1378
2008-February-Early,2184
2008-February-Mid,2174
2008-February-Late,2099
2009-February-Early,1634
2009-February-Mid,1545
2009-February-Late,1664
2010-February-Early,2763
2010-February-Mid,3184
2010-February-Late,3420
2011-February-Early,4879
2011-February-Mid,4771
2011-February-Late,4776
2012-February-Early,1545
2012-February-Mid,1757
2012-February-Late,2385
2013-February-Early,3744
2013-February-Mid,3994
2013-February-Late,4000
2014-February-Early,2235
2014-February-Mid,2262
2014-February-Late,2177
2015-February-Early,1917
2015-February-Mid,1918
2015-February-Late,2087
2016-February-Early,2939
2016-February-Mid,3059
2016-February-Late,3155
2017-February-Early,3997
2017-February-Mid,4014
2017-February-Late,4011
2018-February-Early,4099
2018-February-Mid,4491
2018-February-Late,4284
2019-February-Early,2625
2019-February-Mid,2504
2019-February-Late,2331
2020-February-Early,4426
2020-February-Mid,4343
2020-February-Late,4336
2021-February-Early,3484
2021-February-Mid,3739
2021-February-Late,4382
2022-February-Early,4003
2022-February-Mid,4086
2022-February-Late,4179
2023-February-Early,2943
2023-February-Mid,3075
2023-February-Late,3157
2024-February-Early,3017
2024-February-Mid,3477
2024-February-Late,3815
1996-March-Early,1811
1996-March-Mid,2069
1996-March-Late,2567
1997-March-Early,1230
1997-March-Mid,1264
1997-March-Late,1478
1998-March-Early,1527
1998-March-Mid,1646
1998-March-Late,1936
1999-March-Early,1453
1999-March-Mid,1418
1999-March-Late,1264
2000-March-Early,3606
2000-March-Mid,3629
2000-March-Late,3627
2001-March-Early,1328
2001-March-Mid,1456
2001-March-Late,1748
2002-March-Early,1174
2002-March-Mid,1193
2002-March-Late,1160
2003-March-Early,3065
2003-March-Mid,3584
2003-March-Late,4108
2004-March-Early,1562
2004-March-Mid,1671
2004-March-Late,1857
2005-March-Early,1379
2005-March-Mid,1444
2005-March-Late,1518
2006-March-Early,3138
2006-March-Mid,3291
2006-March-Late,3552
2007-March-Early,1380
2007-March-Mid,1329
2007-March-Late,1331
2008-March-Early,2023
2008-March-Mid,1953
2008-March-Late,2012
2009-March-Early,1913
2009-March-Mid,2276
2009-March-Late,2549
2010-March-Early,3977
2010-March-Mid,4403
2010-March-Late,5081
2011-March-Early,4676
2011-March-Mid,4749
2011-March-Late,4646
2012-March-Early,2904
2012-March-Mid,3173
2012-March-Late,3325
2013-March-Early,4013
2013-March-Mid,4083
2013-March-Late,3996
2014-March-Early,2084
2014-March-Mid,1939
2014-March-Late,1891
2015-March-Early,2218
2015-March-Mid,2299
2015-March-Late,2417
2016-March-Early,3753
2016-March-Mid,3838
2016-March-Late,4047
2017-March-Early,4004
2017-March-Mid,4015
2017-March-Late,3934
2018-March-Early,4297
2018-March-Mid,4292
2018-March-Late,4278
2019-March-Early,2316
2019-March-Mid,2250
2019-March-Late,2208
2020-March-Early,4332
2020-March-Mid,4314
2020-March-Late,4388
2021-March-Early,4536
2021-March-Mid,4762
2021-March-Late,4889
2022-March-Early,4223
2022-March-Mid,4424
2022-March-Late,4620
2023-March-Early,3361
2023-March-Mid,3575
2023-March-Late,3550
2024-March-Early,3909
2024-March-Mid,3436
2024-March-Late,3774
1996-April-Early,2740
1996-April-Mid,2929
1996-April-Late,3278
1997-April-Early,1790
1997-April-Mid,1783
1997-April-Late,1694
1998-April-Early,2020
1998-April-Mid,1886
1998-April-Late,1646
1999-April-Early,1234
1999-April-Mid,1188
1999-April-Late,1183
2000-April-Early,3484
2000-April-Mid,3303
2000-April-Late,3104
2001-April-Early,1787
2001-April-Mid,1639
2001-April-Late,1570
2002-April-Early,1218
2002-April-Mid,1165
2002-April-Late,1094
2003-April-Early,3923
2003-April-Mid,3801
2003-April-Late,3463
2004-April-Early,2013
2004-April-Mid,2009
2004-April-Late,1975
2005-April-Early,1640
2005-April-Mid,1776
2005-April-Late,1811
2006-April-Early,3577
2006-April-Mid,3471
2006-April-Late,3170
2007-April-Early,1430
2007-April-Mid,1503
2007-April-Late,1466
2008-April-Early,2422
2008-April-Mid,2479
2008-April-Late,2282
2009-April-Early,2816
2009-April-Mid,3559
2009-April-Late,4612
2010-April-Early,5858
2010-April-Mid,6174
2010-April-Late,5925
2011-April-Early,4050
2011-April-Mid,3675
2011-April-Late,2233
2012-April-Early,3344
2012-April-Mid,3459
2012-April-Late,3458
2013-April-Early,4185
2013-April-Mid,4198
2013-April-Late,3868
2014-April-Early,1948
