date,data
1996-January-Early,6163
1996-January-Mid,6176
1996-January-Late,6266
1997-January-Early,4390
1997-January-Mid,4356
1997-January-Late,4323
1998-January-Early,4078
1998-January-Mid,4064
1998-January-Late,4050
1999-January-Early,6467
1999-January-Mid,6477
1999-January-Late,6473
2000-January-Early,4970
2000-January-Mid,4970
2000-January-Late,4970
2001-January-Early,5720
2001-January-Mid,5720
2001-January-Late,5720
2002-January-Early,6580
2002-January-Mid,6580
2002-January-Late,6580
2003-January-Early,5220
2003-January-Mid,5220
2003-January-Late,5220
2004-January-Early,7617
2004-January-Mid,7617
2004-January-Late,7652
2005-January-Early,7006
2005-January-Mid,7163
2005-January-Late,7163
2006-January-Early,6713
2006-January-Mid,6714
2006-January-Late,6729
2007-January-Early,8166
2007-January-Mid,8166
2007-January-Late,8166
2008-January-Early,6829
2008-January-Mid,6829
2008-January-Late,6792
2009-January-Early,7100
2009-January-Mid,7100
2009-January-Late,7100
2010-January-Early,7600
2010-January-Mid,7600
2010-January-Late,7600
2011-January-Early,10728
2011-January-Mid,10800
2011-January-Late,10800
2012-January-Early,16767
2012-January-Mid,16871
2012-January-Late,16933
2013-January-Early,14575
2013-January-Mid,14575
2013-January-Late,14518
2014-January-Early,10005
2014-January-Mid,9995
2014-January-Late,9995
2015-January-Early,10715
2015-January-Mid,10729
2015-January-Late,10729
2016-January-Early,10608
2016-January-Mid,10608
2016-January-Late,10608
2017-January-Early,9894
2017-January-Mid,9768
2017-January-Late,9768
2018-January-Early,17557
2018-January-Mid,17745
2018-January-Late,17807
2019-January-Early,17301
2019-January-Mid,17323
2019-January-Late,17359
2020-January-Early,12299
2020-January-Mid,12107
2020-January-Late,12183
2021-January-Early,21753
2021-January-Mid,21777
2021-January-Late,21907
2022-January-Early,13340
2022-January-Mid,13293
2022-January-Late,13447
2023-January-Early,16366
2023-January-Mid,16408
2023-January-Late,16397
2024-January-Early,18430
2024-January-Mid,18530
2024-January-Late,18544
1996-February-Early,6288
1996-February-Mid,6308
1996-February-Late,6315
1997-February-Early,4262
1997-February-Mid,4253
1997-February-Late,4258
1998-February-Early,4038
1998-February-Mid,4039
1998-February-Late,4026
1999-February-Early,6473
1999-February-Mid,6473
1999-February-Late,6473
2000-February-Early,4970
2000-February-Mid,4970
2000-February-Late,4970
2001-February-Early,5720
2001-February-Mid,5720
2001-February-Late,5720
2002-February-Early,6580
2002-February-Mid,6580
2002-February-Late,6580
2003-February-Early,5220
2003-February-Mid,5220
2003-February-Late,5317
2004-February-Early,7738
2004-February-Mid,7750
2004-February-Late,7750
2005-February-Early,7163
2005-February-Mid,7190
2005-February-Late,7214
2006-February-Early,6729
2006-February-Mid,6869
2006-February-Late,7571
2007-February-Early,8166
2007-February-Mid,8023
2007-February-Late,7999
2008-February-Early,6500
2008-February-Mid,6500
2008-February-Late,6500
2009-February-Early,7100
2009-February-Mid,7100
2009-February-Late,7100
2010-February-Early,7600
2010-February-Mid,7600
2010-February-Late,7600
2011-February-Early,10800
2011-February-Mid,10800
2011-February-Late,10800
2012-February-Early,16888
2012-February-Mid,17064
2012-February-Late,17099
2013-February-Early,14467
2013-February-Mid,14467
2013-February-Late,14411
2014-February-Early,9995
2014-February-Mid,9956
2014-February-Late,9918
2015-February-Early,10729
2015-February-Mid,10729
2015-February-Late,10729
2016-February-Early,10608
2016-February-Mid,10608
2016-February-Late,10608
2017-February-Early,9768
2017-February-Mid,9768
2017-February-Late,9768
2018-February-Early,17771
2018-February-Mid,17675
2018-February-Late,17531
2019-February-Early,17338
2019-February-Mid,17227
2019-February-Late,17194
2020-February-Early,12391
2020-February-Mid,12399
2020-February-Late,12597
2021-February-Early,21883
2021-February-Mid,21855
2021-February-Late,21830
2022-February-Early,13460
2022-February-Mid,13553
2022-February-Late,13564
2023-February-Early,16357
2023-February-Mid,16353
2023-February-Late,16459
2024-February-Early,18511
2024-February-Mid,18511
2024-February-Late,18454
1996-March-Early,6347
1996-March-Mid,6389
1996-March-Late,6417
1997-March-Early,4281
1997-March-Mid,4283
1997-March-Late,4218
1998-March-Early,4028
1998-March-Mid,4020
1998-March-Late,4020
1999-March-Early,6473
1999-March-Mid,6473
1999-March-Late,6473
2000-March-Early,4970
2000-March-Mid,4970
2000-March-Late,4970
2001-March-Early,5720
2001-March-Mid,5820
2001-March-Late,5820
2002-March-Early,6580
2002-March-Mid,6529
2002-March-Late,6327
2003-March-Early,5400
2003-March-Mid,5400
2003-March-Late,5364
2004-March-Early,7750
2004-March-Mid,7772
2004-March-Late,7856
2005-March-Early,7296
2005-March-Mid,7329
2005-March-Late,7329
2006-March-Early,7571
2006-March-Mid,7571
2006-March-Late,7571
2007-March-Early,8094
2007-March-Mid,7914
2007-March-Late,7783
2008-March-Early,6500
2008-March-Mid,6500
2008-March-Late,6500
2009-March-Early,7100
2009-March-Mid,7100
2009-March-Late,7100
2010-March-Early,7600
2010-March-Mid,7600
2010-March-Late,7600
2011-March-Early,10800
2011-March-Mid,10800
2011-March-Late,10800
2012-March-Early,17099
2012-March-Mid,17099
2012-March-Late,17099
2013-March-Early,14383
2013-March-Mid,14373
2013-March-Late,14083
2014-March-Early,9866
2014-March-Mid,9841
2014-March-Late,9786
2015-March-Early,10729
2015-March-Mid,10729
2015-March-Late,10729
2016-March-Early,10608
2016-March-Mid,10608
2016-March-Late,10566
2017-March-Early,9768
2017-March-Mid,9768
2017-March-Late,9772
2018-March-Early,17500
2018-March-Mid,17419
2018-March-Late,17333
2019-March-Early,17194
2019-March-Mid,17148
2019-March-Late,17130
2020-March-Early,12553
2020-March-Mid,12444
2020-March-Late,12496
2021-March-Early,21811
2021-March-Mid,21959
2021-March-Late,21980
2022-March-Early,13607
2022-March-Mid,13544
2022-March-Late,13498
2023-March-Early,16376
2023-March-Mid,16341
2023-March-Late,16385
2024-March-Early,18461
2024-March-Mid,18551
2024-March-Late,18651
1996-April-Early,6416
1996-April-Mid,6400
1996-April-Late,6400
1997-April-Early,4117
1997-April-Mid,4102
1997-April-Late,4081
1998-April-Early,4027
1998-April-Mid,4020
1998-April-Late,4029
1999-April-Early,6455
1999-April-Mid,6499
1999-April-Late,6527
2000-April-Early,4996
2000-April-Mid,5020
2000-April-Late,5020
2001-April-Early,5820
2001-April-Mid,5820
2001-April-Late,5820
2002-April-Early,6155
2002-April-Mid,6051
2002-April-Late,5945
2003-April-Early,5360
2003-April-Mid,5360
2003-April-Late,5360
2004-April-Early,7883
2004-April-Mid,7883
2004-April-Late,7839
2005-April-Early,7329
2005-April-Mid,7471
2005-April-Late,7471
2006-April-Early,7571
2006-April-Mid,7120
2006-April-Late,6969
2007-April-Early,7664
2007-April-Mid,7617
2007-April-Late,7700
2008-April-Early,6500
2008-April-Mid,6500
2008-April-Late,6615
2009-April-Early,7100
2009-April-Mid,7100
2009-April-Late,7100
2010-April-Early,7600
2010-April-Mid,7600
2010-April-Late,7600
2011-April-Early,10800
2011-April-Mid,10800
2011-April-Late,10800
2012-April-Early,17099
2012-April-Mid,16994
2012-April-Late,16866
2013-April-Early,13871
2013-April-Mid,13855
2013-April-Late,13794
2014-April-Early,9764
2014-April-Mid,9764
2014-April-Late,9764
2015-April-Early,10729
2015-April-Mid,10729
2015-April-Late,10729
2016-April-Early,10471
2016-April-Mid,10397
2016-April-Late,10289
2017-April-Early,9809
2017-April-Mid,9825
2017-April-Late,9831
2018-April-Early,17293
2018-April-Mid,17228
2018-April-Late,17209
2019-April-Early,17111
2019-April-Mid,16772
2019-April-Late,16611
2020-April-Early,12571
2020-April-Mid,12607
2020-April-Late,12607
2021-April-Early,21763
2021-April-Mid,21665
2021-April-Late,21327
2022-April-Early,13376
2022-April-Mid,13347
2022-April-Late,13370
2023-April-Early,16309
2023-April-Mid,16386
2023-April-Late,16319
2024-April-Early,18640
2024-April-Mid,18659
2024-April-Late,18715
1996-May-Early,6410
1996-May-Mid,6382
1996-May-Late,6337
1997-May-Early,4050
1997-May-Mid,4033
1997-May-Late,3988
1998-May-Early,4024
1998-May-Mid,4032
1998-May-Late,3999
1999-May-Early,6527
1999-May-Mid,6527
1999-May-Late,6491
2000-May-Early,5020
2000-May-Mid,5020
2000-May-Late,5020
2001-May-Early,5820
2001-May-Mid,5877
2001-May-Late,5900
2002-May-Early,5940
2002-May-Mid,5708
2002-May-Late,5574
2003-May-Early,5360
2003-May-Mid,5360
2003-May-Late,5380
2004-May-Early,7833
2004-May-Mid,7787
2004-May-Late,7542
2005-May-Early,7431
2005-May-Mid,7329
2005-May-Late,7308
2006-May-Early,7571
2006-May-Mid,6969
2006-May-Late,6729
2007-May-Early,7717
2007-May-Mid,7717
2007-May-Late,7633
2008-May-Early,6667
2008-May-Mid,6667
2008-May-Late,6667
2009-May-Early,7100
2009-May-Mid,7100
2009-May-Late,7100
2010-May-Early,7600
2010-May-Mid,7600
2010-May-Late,7600
2011-May-Early,10800
2011-May-Mid,10800
2011-May-Late,10800
2012-May-Early,16633
2012-May-Mid,16300
2012-May-Late,16288
2013-May-Early,13682
2013-May-Mid,13621
2013-May-Late,13621
2014-May-Early,9764
2014-May-Mid,9764
2014-May-Late,9764
2015-May-Early,10704
2015-May-Mid,10679
2015-May-Late,10684
2016-May-Early,10289
2016-May-Mid,10289
2016-May-Late,10289
2017-May-Early,9835
2017-May-Mid,9818
2017-May-Late,9815
2018-May-Early,17231
2018-May-Mid,17187
2018-May-Late,17187
2019-May-Early,16554
2019-May-Mid,16575
2019-May-Late,16575
2020-May-Early,12607
2020-May-Mid,12612
2020-May-Late,12684
2021-May-Early,20855
2021-May-Mid,20668
2021-May-Late,20655
2022-May-Early,13369
2022-May-Mid,13428
2022-May-Late,13514
2023-May-Early,16196
2023-May-Mid,15945
2023-May-Late,15929
2024-May-Early,18740
2024-May-Mid,18740
2024-May-Late,18732
1996-June-Early,6308
1996-June-Mid,6292
1996-June-Late,6231
1997-June-Early,3981
1997-June-Mid,3999
1997-June-Late,4059
1998-June-Early,4004
1998-June-Mid,4104
1998-June-Late,4180
1999-June-Early,6445
1999-June-Mid,6361
1999-June-Late,5859
2000-June-Early,5045
2000-June-Mid,5108
2000-June-Late,5160
2001-June-Early,6029
2001-June-Mid,6647
2001-June-Late,7011
2002-June-Early,5366
2002-June-Mid,5240
2002-June-Late,5240
2003-June-Early,5460
2003-June-Mid,5538
2003-June-Late,5560
2004-June-Early,7500
2004-June-Mid,7500
2004-June-Late,7433
2005-June-Early,7351
2005-June-Mid,7586
2005-June-Late,7586
2006-June-Early,6729
2006-June-Mid,6729
2006-June-Late,6729
2007-June-Early,7633
2007-June-Mid,7633
2007-June-Late,7633
2008-June-Early,6667
2008-June-Mid,6667
2008-June-Late,6768
2009-June-Early,7100
2009-June-Mid,7129
2009-June-Late,7200
2010-June-Early,7600
2010-June-Mid,7600
2010-June-Late,7600
2011-June-Early,10800
2011-June-Mid,11000
2011-June-Late,11000
2012-June-Early,16200
2012-June-Mid,16075
2012-June-Late,16033
2013-June-Early,13609
2013-June-Mid,13508
2013-June-Late,13376
2014-June-Early,9764
2014-June-Mid,9764
2014-June-Late,9764
2015-June-Early,10710
2015-June-Mid,10710
2015-June-Late,10710
2016-June-Early,10209
2016-June-Mid,10185
2016-June-Late,10185
2017-June-Early,9864
2017-June-Mid,9917
2017-June-Late,10034
2018-June-Early,17213
2018-June-Mid,17199
2018-June-Late,17193
2019-June-Early,16575
2019-June-Mid,16553
2019-June-Late,16531
2020-June-Early,12714
2020-June-Mid,12714
2020-June-Late,12720
2021-June-Early,20395
2021-June-Mid,20282
2021-June-Late,20267
2022-June-Early,13577
2022-June-Mid,13607
2022-June-Late,13619
2023-June-Early,16055
2023-June-Mid,16220
2023-June-Late,16340
2024-June-Early,18723
2024-June-Mid,18727
2024-June-Late,18753
1996-July-Early,6132
1996-July-Mid,6083
1996-July-Late,6063
1997-July-Early,4067
1997-July-Mid,4049
1997-July-Late,3988
1998-July-Early,4212
1998-July-Mid,4253
1998-July-Late,4236
1999-July-Early,5718
1999-July-Mid,5703
1999-July-Late,5643
2000-July-Early,5170
2000-July-Mid,5100
2000-July-Late,5051
2001-July-Early,7038
2001-July-Mid,6900
2001-July-Late,6627
2002-July-Early,5235
2002-July-Mid,5220
2002-July-Late,5007
2003-July-Early,5604
2003-July-Mid,5660
2003-July-Late,5660
2004-July-Early,7400
2004-July-Mid,7400
2004-July-Late,7400
2005-July-Early,7586
2005-July-Mid,7604
2005-July-Late,7633
2006-July-Early,6729
2006-July-Mid,6729
2006-July-Late,6729
2007-July-Early,7633
2007-July-Mid,7633
2007-July-Late,7633
2008-July-Early,7061
2008-July-Mid,7257
2008-July-Late,7257
2009-July-Early,7375
2009-July-Mid,7400
2009-July-Late,7400
2010-July-Early,7600
2010-July-Mid,7600
2010-July-Late,7600
2011-July-Early,11000
2011-July-Mid,11000
2011-July-Late,11000
2012-July-Early,16033
2012-July-Mid,16033
2012-July-Late,16028
2013-July-Early,13327
2013-July-Mid,13223
2013-July-Late,13193
2014-July-Early,9729
2014-July-Mid,9729
2014-July-Late,9729
2015-July-Early,10718
2015-July-Mid,10741
2015-July-Late,10741
2016-July-Early,10185
2016-July-Mid,10185
2016-July-Late,10140
2017-July-Early,10063
2017-July-Mid,10174
2017-July-Late,10205
2018-July-Early,17193
2018-July-Mid,17185
2018-July-Late,16990
2019-July-Early,16561
2019-July-Mid,16734
2019-July-Late,16700
2020-July-Early,12776
2020-July-Mid,12807
2020-July-Late,12847
2021-July-Early,20253
2021-July-Mid,20173
2021-July-Late,19977
2022-July-Early,13598
2022-July-Mid,13639
2022-July-Late,13840
2023-July-Early,15969
2023-July-Mid,16192
2023-July-Late,16312
2024-July-Early,18748
2024-July-Mid,18733
2024-July-Late,18718
1996-August-Early,5939
1996-August-Mid,5552
1996-August-Late,5468
1997-August-Early,4130
1997-August-Mid,4089
1997-August-Late,4072
1998-August-Early,4253
1998-August-Mid,4293
1998-August-Late,4772
1999-August-Early,5574
1999-August-Mid,5525
1999-August-Late,5320
2000-August-Early,5274
2000-August-Mid,4866
2000-August-Late,4710
2001-August-Early,6109
2001-August-Mid,6113
2001-August-Late,6190
2002-August-Early,4877
2002-August-Mid,4808
2002-August-Late,4789
2003-August-Early,5723
2003-August-Mid,6100
2003-August-Late,6588
2004-August-Early,7300
2004-August-Mid,7106
2004-August-Late,7150
2005-August-Early,7133
2005-August-Mid,6087
2005-August-Late,5878
2006-August-Early,6733
2006-August-Mid,6637
2006-August-Late,6682
2007-August-Early,7029
2007-August-Mid,6334
2007-August-Late,6063
2008-August-Early,7179
2008-August-Mid,6989
2008-August-Late,6669
2009-August-Early,7346
2009-August-Mid,7248
2009-August-Late,7298
2010-August-Early,7655
2010-August-Mid,7631
2010-August-Late,7500
2011-August-Early,11000
2011-August-Mid,11484
2011-August-Late,14308
2012-August-Early,15900
2012-August-Mid,15900
2012-August-Late,16235
2013-August-Early,13065
2013-August-Mid,12238
2013-August-Late,11031
2014-August-Early,9712
2014-August-Mid,9868
2014-August-Late,10065
2015-August-Early,10730
