date,data
1996-January-Early,2952
1996-January-Mid,2931
1996-January-Late,2896
1997-January-Early,3985
1997-January-Mid,4198
1997-January-Late,4482
1998-January-Early,4429
1998-January-Mid,4406
1998-January-Late,4545
1999-January-Early,5497
1999-January-Mid,5498
1999-January-Late,5483
2000-January-Early,3554
2000-January-Mid,3550
2000-January-Late,3530
2001-January-Early,3603
2001-January-Mid,3551
2001-January-Late,3588
2002-January-Early,4044
2002-January-Mid,4183
2002-January-Late,4523
2003-January-Early,4911
2003-January-Mid,4824
2003-January-Late,4905
2004-January-Early,5794
2004-January-Mid,5923
2004-January-Late,6042
2005-January-Early,5953
2005-January-Mid,6143
2005-January-Late,6214
2006-January-Early,6137
2006-January-Mid,6182
2006-January-Late,6175
2007-January-Early,6400
2007-January-Mid,6477
2007-January-Late,6594
2008-January-Early,6764
2008-January-Mid,6415
2008-January-Late,6846
2009-January-Early,6224
2009-January-Mid,5944
2009-January-Late,6068
2010-January-Early,5892
2010-January-Mid,6108
2010-January-Late,6122
2011-January-Early,6879
2011-January-Mid,6847
2011-January-Late,6834
2012-January-Early,6698
2012-January-Mid,6812
2012-January-Late,6890
2013-January-Early,7274
2013-January-Mid,7242
2013-January-Late,7197
2014-January-Early,6695
2014-January-Mid,6590
2014-January-Late,6214
2015-January-Early,6764
2015-January-Mid,6564
2015-January-Late,6540
2016-January-Early,9867
2016-January-Mid,9808
2016-January-Late,9876
2017-January-Early,10496
2017-January-Mid,10262
2017-January-Late,10140
2018-January-Early,9662
2018-January-Mid,9698
2018-January-Late,9612
2019-January-Early,9133
2019-January-Mid,9244
2019-January-Late,9261
2020-January-Early,6861
2020-January-Mid,6858
2020-January-Late,6988
2021-January-Early,10028
2021-January-Mid,9904
2021-January-Late,9797
2022-January-Early,12619
2022-January-Mid,11856
2022-January-Late,11965
2023-January-Early,12734
2023-January-Mid,12632
2023-January-Late,12692
2024-January-Early,9599
2024-January-Mid,9962
2024-January-Late,10020
1996-February-Early,2859
1996-February-Mid,2854
1996-February-Late,2849
1997-February-Early,4596
1997-February-Mid,4618
1997-February-Late,4617
1998-February-Early,4755
1998-February-Mid,5110
1998-February-Late,5237
1999-February-Early,5666
1999-February-Mid,5718
1999-February-Late,5718
2000-February-Early,3520
2000-February-Mid,3560
2000-February-Late,3691
2001-February-Early,3768
2001-February-Mid,3867
2001-February-Late,3887
2002-February-Early,4703
2002-February-Mid,4823
2002-February-Late,4887
2003-February-Early,4992
2003-February-Mid,4883
2003-February-Late,4883
2004-February-Early,6122
2004-February-Mid,6144
2004-February-Late,6231
2005-February-Early,6256
2005-February-Mid,6139
2005-February-Late,6145
2006-February-Early,6186
2006-February-Mid,6177
2006-February-Late,6141
2007-February-Early,6713
2007-February-Mid,6917
2007-February-Late,6898
2008-February-Early,6732
2008-February-Mid,6789
2008-February-Late,6567
2009-February-Early,6215
2009-February-Mid,6243
2009-February-Late,6113
2010-February-Early,6102
2010-February-Mid,5997
2010-February-Late,5999
2011-February-Early,6922
2011-February-Mid,6743
2011-February-Late,6714
2012-February-Early,6981
2012-February-Mid,7150
2012-February-Late,7233
2013-February-Early,7191
2013-February-Mid,7503
2013-February-Late,8283
2014-February-Early,6531
2014-February-Mid,6435
2014-February-Late,6315
2015-February-Early,6820
2015-February-Mid,6924
2015-February-Late,6883
2016-February-Early,10244
2016-February-Mid,10781
2016-February-Late,10796
2017-February-Early,10313
2017-February-Mid,10508
2017-February-Late,10431
2018-February-Early,9570
2018-February-Mid,9656
2018-February-Late,9728
2019-February-Early,9475
2019-February-Mid,9556
2019-February-Late,9406
2020-February-Early,7100
2020-February-Mid,6975
2020-February-Late,7041
2021-February-Early,9781
2021-February-Mid,10246
2021-February-Late,10294
2022-February-Early,12432
2022-February-Mid,12409
2022-February-Late,12109
2023-February-Early,12978
2023-February-Mid,13181
2023-February-Late,13189
2024-February-Early,9484
2024-February-Mid,9784
2024-February-Late,10258
1996-March-Early,2808
1996-March-Mid,2786
1996-March-Late,2742
1997-March-Early,4606
1997-March-Mid,4581
1997-March-Late,4471
1998-March-Early,5364
1998-March-Mid,5439
1998-March-Late,5453
1999-March-Early,5718
1999-March-Mid,5718
1999-March-Late,5711
2000-March-Early,3815
2000-March-Mid,3740
2000-March-Late,3668
2001-March-Early,3964
2001-March-Mid,3880
2001-March-Late,3919
2002-March-Early,4971
2002-March-Mid,5117
2002-March-Late,5001
2003-March-Early,4943
