date,data
1996-January-Early,3228
1996-January-Mid,3189
1996-January-Late,3154
1997-January-Early,6068
1997-January-Mid,6221
1997-January-Late,6527
1998-January-Early,7454
1998-January-Mid,7273
1998-January-Late,7273
1999-January-Early,2391
1999-January-Mid,2523
1999-January-Late,2715
2000-January-Early,2360
2000-January-Mid,2383
2000-January-Late,2371
2001-January-Early,7203
2001-January-Mid,7619
2001-January-Late,8153
2002-January-Early,5859
2002-January-Mid,6012
2002-January-Late,6024
2003-January-Early,4454
2003-January-Mid,4475
2003-January-Late,4496
2004-January-Early,4580
2004-January-Mid,4617
2004-January-Late,4689
2005-January-Early,8290
2005-January-Mid,8591
2005-January-Late,8617
2006-January-Early,5626
2006-January-Mid,5682
2006-January-Late,5675
2007-January-Early,5817
2007-January-Mid,5886
2007-January-Late,5979
2008-January-Early,4620
2008-January-Mid,4640
2008-January-Late,4469
2009-January-Early,7017
2009-January-Mid,6765
2009-January-Late,6972
2010-January-Early,6931
2010-January-Mid,7279
2010-January-Late,8008
2011-January-Early,8044
2011-January-Mid,8153
2011-January-Late,8210
2012-January-Early,8129
2012-January-Mid,8202
2012-January-Late,8314
2013-January-Early,9457
2013-January-Mid,9482
2013-January-Late,9581
2014-January-Early,7306
2014-January-Mid,7436
2014-January-Late,7496
2015-January-Early,10617
2015-January-Mid,10847
2015-January-Late,10979
2016-January-Early,10229
2016-January-Mid,10372
2016-January-Late,10472
2017-January-Early,6722
2017-January-Mid,7011
2017-January-Late,7184
2018-January-Early,8773
2018-January-Mid,8814
2018-January-Late,8894
2019-January-Early,15722
2019-January-Mid,15809
2019-January-Late,15925
2020-January-Early,12393
2020-January-Mid,12452
2020-January-Late,12383
2021-January-Early,10730
2021-January-Mid,10689
2021-January-Late,10567
2022-January-Early,8031
2022-January-Mid,8072
2022-January-Late,8204
2023-January-Early,12721
2023-January-Mid,12941
2023-January-Late,13325
2024-January-Early,15288
2024-January-Mid,15715
2024-January-Late,15634
1996-February-Early,3171
1996-February-Mid,3204
1996-February-Late,3193
1997-February-Early,6998
1997-February-Mid,7280
1997-February-Late,7289
1998-February-Early,7213
1998-February-Mid,7101
1998-February-Late,6995
1999-February-Early,2804
1999-February-Mid,2845
1999-February-Late,2838
2000-February-Early,2380
2000-February-Mid,2380
2000-February-Late,2380
2001-February-Early,9096
2001-February-Mid,9680
2001-February-Late,9660
2002-February-Early,6080
2002-February-Mid,6036
2002-February-Late,5929
2003-February-Early,4557
2003-February-Mid,4565
2003-February-Late,4564
2004-February-Early,4797
2004-February-Mid,4850
2004-February-Late,5100
2005-February-Early,8678
2005-February-Mid,8694
2005-February-Late,8752
2006-February-Early,5789
2006-February-Mid,5761
2006-February-Late,5748
2007-February-Early,6054
2007-February-Mid,6221
2007-February-Late,6117
2008-February-Early,4350
2008-February-Mid,4532
2008-February-Late,4554
2009-February-Early,7111
2009-February-Mid,7167
2009-February-Late,7169
2010-February-Early,8208
2010-February-Mid,8541
2010-February-Late,8699
2011-February-Early,8352
2011-February-Mid,8254
2011-February-Late,8262
2012-February-Early,8128
2012-February-Mid,7912
2012-February-Late,7947
2013-February-Early,9607
2013-February-Mid,9691
2013-February-Late,9809
2014-February-Early,7473
2014-February-Mid,7594
2014-February-Late,7753
2015-February-Early,11207
2015-February-Mid,11402
2015-February-Late,11113
2016-February-Early,10592
2016-February-Mid,10556
2016-February-Late,10415
2017-February-Early,7228
2017-February-Mid,7233
2017-February-Late,7256
2018-February-Early,8916
2018-February-Mid,9028
2018-February-Late,8960
2019-February-Early,16025
2019-February-Mid,16018
2019-February-Late,16028
2020-February-Early,11668
2020-February-Mid,11215
2020-February-Late,12353
2021-February-Early,10604
2021-February-Mid,10689
2021-February-Late,10708
2022-February-Early,8387
2022-February-Mid,8478
2022-February-Late,8302
2023-February-Early,13611
2023-February-Mid,13552
2023-February-Late,13892
2024-February-Early,15685
2024-February-Mid,15682
2024-February-Late,15709
1996-March-Early,3206
1996-March-Mid,3161
1996-March-Late,3174
1997-March-Early,7291
1997-March-Mid,7179
1997-March-Late,7268
1998-March-Early,7011
1998-March-Mid,6959
1998-March-Late,6854
1999-March-Early,2800
1999-March-Mid,2792
1999-March-Late,2776
2000-March-Early,2318
2000-March-Mid,2280
2000-March-Late,2280
2001-March-Early,9551
2001-March-Mid,9570
2001-March-Late,9440
2002-March-Early,6080
2002-March-Mid,6028
2002-March-Late,6029
2003-March-Early,4515
2003-March-Mid,4534
2003-March-Late,4499
2004-March-Early,5535
2004-March-Mid,5904
2004-March-Late,6226
2005-March-Early,8907
2005-March-Mid,8942
2005-March-Late,8854
2006-March-Early,5612
2006-March-Mid,5531
2006-March-Late,5526
2007-March-Early,6106
2007-March-Mid,6049
2007-March-Late,6011
2008-March-Early,4578
2008-March-Mid,4606
2008-March-Late,4639
2009-March-Early,7164
2009-March-Mid,7230
