date,data
2015-January-Early,0
2015-January-Mid,0
2015-January-Late,0
2016-January-Early,23345
2016-January-Mid,23345
2016-January-Late,22469
2017-January-Early,19745
2017-January-Mid,19596
2017-January-Late,19633
2018-January-Early,31190
2018-January-Mid,31206
2018-January-Late,31256
2019-January-Early,31863
2019-January-Mid,31920
2019-January-Late,31888
2020-January-Early,26209
2020-January-Mid,26336
2020-January-Late,26321
2021-January-Early,37669
2021-January-Mid,38313
2021-January-Late,39023
2022-January-Early,30320
2022-January-Mid,30310
2022-January-Late,30901
2023-January-Early,30329
2023-January-Mid,30202
2023-January-Late,30179
2024-January-Early,34409
2024-January-Mid,34777
2024-January-Late,34827
2015-February-Early,0
2015-February-Mid,0
2015-February-Late,0
2016-February-Early,21230
2016-February-Mid,21600
2016-February-Late,21603
2017-February-Early,19866
2017-February-Mid,19898
2017-February-Late,20123
2018-February-Early,31229
2018-February-Mid,31115
2018-February-Late,31268
2019-February-Early,31876
2019-February-Mid,31888
2019-February-Late,31923
2020-February-Early,26344
2020-February-Mid,25828
2020-February-Late,25899
2021-February-Early,39011
2021-February-Mid,38837
2021-February-Late,38890
2022-February-Early,30950
2022-February-Mid,30877
2022-February-Late,30798
2023-February-Early,30428
2023-February-Mid,31274
2023-February-Late,31956
2024-February-Early,35591
2024-February-Mid,36432
2024-February-Late,36486
2015-March-Early,0
2015-March-Mid,0
2015-March-Late,0
2016-March-Early,22356
2016-March-Mid,22532
2016-March-Late,22505
2017-March-Early,20089
2017-March-Mid,20194
2017-March-Late,20138
2018-March-Early,31335
2018-March-Mid,31322
2018-March-Late,31272
2019-March-Early,31928
2019-March-Mid,31948
2019-March-Late,31984
2020-March-Early,26255
2020-March-Mid,26359
2020-March-Late,26500
2021-March-Early,38883
2021-March-Mid,38438
2021-March-Late,36957
2022-March-Early,30664
2022-March-Mid,30543
2022-March-Late,30587
2023-March-Early,32539
2023-March-Mid,33273
2023-March-Late,33898
2024-March-Early,35208
2024-March-Mid,34095
2024-March-Late,33651
2015-April-Early,0
2015-April-Mid,0
2015-April-Late,0
2016-April-Early,22441
2016-April-Mid,22431
2016-April-Late,22309
2017-April-Early,20039
2017-April-Mid,19928
2017-April-Late,20203
2018-April-Early,31274
2018-April-Mid,31260
2018-April-Late,31371
2019-April-Early,31877
2019-April-Mid,31731
2019-April-Late,31229
2020-April-Early,26486
2020-April-Mid,26425
2020-April-Late,26328
2021-April-Early,36960
2021-April-Mid,37152
2021-April-Late,37351
2022-April-Early,30573
2022-April-Mid,30505
2022-April-Late,30535
2023-April-Early,34283
2023-April-Mid,33585
2023-April-Late,33471
2024-April-Early,34221
2024-April-Mid,34568
2024-April-Late,33994
2015-May-Early,0
2015-May-Mid,0
2015-May-Late,0
2016-May-Early,22260
2016-May-Mid,22247
2016-May-Late,22258
2017-May-Early,20199
2017-May-Mid,19934
2017-May-Late,19694
2018-May-Early,31446
2018-May-Mid,31307
2018-May-Late,31318
2019-May-Early,31366
2019-May-Mid,31292
2019-May-Late,31118
2020-May-Early,26320
2020-May-Mid,26203
2020-May-Late,26208
2021-May-Early,37397
2021-May-Mid,37600
2021-May-Late,37591
2022-May-Early,29681
2022-May-Mid,29613
2022-May-Late,29716
2023-May-Early,34330
2023-May-Mid,34400
2023-May-Late,34367
2024-May-Early,33915
2024-May-Mid,33762
2024-May-Late,33636
2015-June-Early,23532
2015-June-Mid,23532
2015-June-Late,23541
2016-June-Early,22388
2016-June-Mid,22077
2016-June-Late,22137
2017-June-Early,19655
2017-June-Mid,19702
2017-June-Late,19891
2018-June-Early,31500
2018-June-Mid,31195
2018-June-Late,31124
2019-June-Early,30826
2019-June-Mid,30761
2019-June-Late,30865
2020-June-Early,26138
2020-June-Mid,26048
2020-June-Late,26089
2021-June-Early,37578
2021-June-Mid,37576
2021-June-Late,37881
2022-June-Early,29779
2022-June-Mid,29889
2022-June-Late,29933
2023-June-Early,34260
2023-June-Mid,34354
2023-June-Late,34355
2024-June-Early,35361
2024-June-Mid,35687
2024-June-Late,35667
2015-July-Early,23967
2015-July-Mid,23997
2015-July-Late,24063
2016-July-Early,22415
2016-July-Mid,22527
2016-July-Late,22527
2017-July-Early,20319
2017-July-Mid,20366
2017-July-Late,20530
2018-July-Early,31006
2018-July-Mid,31049
2018-July-Late,31336
2019-July-Early,30659
2019-July-Mid,30428
2019-July-Late,30397
2020-July-Early,26053
2020-July-Mid,25982
2020-July-Late,26059
2021-July-Early,38005
2021-July-Mid,39162
2021-July-Late,40030
2022-July-Early,29925
2022-July-Mid,29874
2022-July-Late,29793
2023-July-Early,33599
2023-July-Mid,33700
2023-July-Late,33702
2024-July-Early,35644
2024-July-Mid,35677
2024-July-Late,35770
2015-August-Early,24053
2015-August-Mid,24039
2015-August-Late,24039
2016-August-Early,22527
2016-August-Mid,22527
2016-August-Late,21297
2017-August-Early,20595
2017-August-Mid,20595
2017-August-Late,21010
2018-August-Early,31495
2018-August-Mid,32252
2018-August-Late,32594
2019-August-Early,30360
2019-August-Mid,30313
2019-August-Late,29970
2020-August-Early,25916
2020-August-Mid,26972
2020-August-Late,29501
2021-August-Early,39211
2021-August-Mid,38792
2021-August-Late,35170
2022-August-Early,29784
2022-August-Mid,29800
2022-August-Late,30092
2023-August-Early,33747
2023-August-Mid,33723
2023-August-Late,34029
2024-August-Early,35323
2024-August-Mid,35035
2024-August-Late,35141
2015-September-Early,24364
2015-September-Mid,22938
2015-September-Late,23300
2016-September-Early,21123
2016-September-Mid,21116
2016-September-Late,21211
2017-September-Early,21530
2017-September-Mid,22862
2017-September-Late,24365
2018-September-Early,32902
2018-September-Mid,32984
2018-September-Late,32933
2019-September-Early,29457
2019-September-Mid,29248
2019-September-Late,29032
2020-September-Early,31479
2020-September-Mid,32088
2020-September-Late,32565
2021-September-Early,34924
2021-September-Mid,34419
2021-September-Late,34345
2022-September-Early,30326
2022-September-Mid,30728
2022-September-Late,31337
2023-September-Early,36256
2023-September-Mid,36878
2023-September-Late,36963
2024-September-Early,34621
2024-September-Mid,35095
2024-September-Late,35302
2015-October-Early,24728
2015-October-Mid,24557
2015-October-Late,24583
2016-October-Early,21547
2016-October-Mid,21756
2016-October-Late,21505
2017-October-Early,24978
2017-October-Mid,27395
2017-October-Late,28450
2018-October-Early,32927
2018-October-Mid,32648
2018-October-Late,32488
2019-October-Early,28499
2019-October-Mid,28207
2019-October-Late,27463
2020-October-Early,32797
2020-October-Mid,33718
2020-October-Late,35143
2021-October-Early,34334
2021-October-Mid,34090
2021-October-Late,33895
2022-October-Early,31624
2022-October-Mid,31136
2022-October-Late,30973
2023-October-Early,36401
2023-October-Mid,35578
2023-October-Late,34817
2024-October-Early,34977
2024-October-Mid,0
2024-October-Late,0
2015-November-Early,24320
2015-November-Mid,23752
2015-November-Late,23335
2016-November-Early,20661
2016-November-Mid,19093
2016-November-Late,18690
2017-November-Early,29320
2017-November-Mid,30590
2017-November-Late,30641
2018-November-Early,31933
2018-November-Mid,31753
2018-November-Late,31775
