date,data
2000-January-Early,2707
2000-January-Mid,3369
2000-January-Late,0
2001-January-Early,2639
2001-January-Mid,2399
2001-January-Late,2381
2002-January-Early,5233
2002-January-Mid,5722
2002-January-Late,2258
2003-January-Early,3899
2003-January-Mid,4451
2003-January-Late,4560
2004-January-Early,3207
2004-January-Mid,3463
2004-January-Late,3710
2005-January-Early,6384
2005-January-Mid,6766
2005-January-Late,3118
2006-January-Early,4033
2006-January-Mid,3933
2006-January-Late,5161
2007-January-Early,5450
2007-January-Mid,5245
2007-January-Late,4049
2008-January-Early,4326
2008-January-Mid,5681
2008-January-Late,5575
2009-January-Early,4275
2009-January-Mid,4603
2009-January-Late,4068
2010-January-Early,8629
2010-January-Mid,10465
2010-January-Late,3841
2011-January-Early,6529
2011-January-Mid,6845
2011-January-Late,7859
2012-January-Early,8360
2012-January-Mid,8017
2012-January-Late,5504
2013-January-Early,4669
2013-January-Mid,4969
2013-January-Late,9507
2014-January-Early,5896
2014-January-Mid,6001
2014-January-Late,4644
2015-January-Early,6960
2015-January-Mid,5556
2015-January-Late,6504
2016-January-Early,7003
2016-January-Mid,6991
2016-January-Late,6895
2017-January-Early,7283
2017-January-Mid,6579
2017-January-Late,7222
2018-January-Early,5517
2018-January-Mid,5862
2018-January-Late,6000
2019-January-Early,5181
2019-January-Mid,5255
2019-January-Late,5315
2020-January-Early,6732
2020-January-Mid,6842
2020-January-Late,7170
2021-January-Early,10110
2021-January-Mid,12078
2021-January-Late,13987
2022-January-Early,7577
2022-January-Mid,7862
2022-January-Late,8974
2023-January-Early,8528
2023-January-Mid,10224
2023-January-Late,10118
2024-January-Early,10615
2024-January-Mid,9971
2024-January-Late,11140
2000-February-Early,2675
2000-February-Mid,2621
2000-February-Late,0
2001-February-Early,2281
2001-February-Mid,2019
2001-February-Late,2957
2002-February-Early,5997
2002-February-Mid,5534
2002-February-Late,2241
2003-February-Early,4213
2003-February-Mid,4154
2003-February-Late,6371
2004-February-Early,3926
2004-February-Mid,3597
2004-February-Late,4218
2005-February-Early,4002
2005-February-Mid,3585
2005-February-Late,3818
2006-February-Early,3900
2006-February-Mid,4099
2006-February-Late,5301
2007-February-Early,5676
2007-February-Mid,5835
2007-February-Late,3667
2008-February-Early,4324
2008-February-Mid,3563
2008-February-Late,5415
2009-February-Early,5002
2009-February-Mid,4913
2009-February-Late,5809
2010-February-Early,8239
2010-February-Mid,7663
2010-February-Late,4677
2011-February-Early,5710
2011-February-Mid,5698
2011-February-Late,10510
2012-February-Early,7349
2012-February-Mid,5752
2012-February-Late,6171
2013-February-Early,4796
2013-February-Mid,3975
2013-February-Late,7910
2014-February-Early,6067
2014-February-Mid,5784
2014-February-Late,5323
2015-February-Early,8107
2015-February-Mid,5506
2015-February-Late,5889
2016-February-Early,7868
2016-February-Mid,8408
2016-February-Late,7955
2017-February-Early,7625
2017-February-Mid,8219
2017-February-Late,8385
2018-February-Early,6035
2018-February-Mid,6406
2018-February-Late,5254
2019-February-Early,6040
2019-February-Mid,5566
2019-February-Late,4980
2020-February-Early,6334
2020-February-Mid,5615
2020-February-Late,5604
2021-February-Early,11779
2021-February-Mid,10152
2021-February-Late,8247
2022-February-Early,9672
2022-February-Mid,8891
2022-February-Late,8274
2023-February-Early,8653
2023-February-Mid,7595
2023-February-Late,7095
2024-February-Early,12204
2024-February-Mid,11703
2024-February-Late,9506
2000-March-Early,2275
2000-March-Mid,1996
2000-March-Late,0
2001-March-Early,1668
2001-March-Mid,1340
2001-March-Late,2438
2002-March-Early,4121
2002-March-Mid,3740
2002-March-Late,1799
2003-March-Early,3832
2003-March-Mid,3407
2003-March-Late,4913
2004-March-Early,3322
2004-March-Mid,3041
2004-March-Late,4089
2005-March-Early,3074
2005-March-Mid,3023
2005-March-Late,3324
2006-March-Early,3108
2006-March-Mid,2685
2006-March-Late,3443
2007-March-Early,4757
2007-March-Mid,3600
2007-March-Late,3468
2008-March-Early,3006
2008-March-Mid,2807
2008-March-Late,5648
2009-March-Early,4582
2009-March-Mid,4677
2009-March-Late,3426
2010-March-Early,6452
2010-March-Mid,5621
2010-March-Late,4649
2011-March-Early,5080
2011-March-Mid,5030
2011-March-Late,7566
2012-March-Early,4496
2012-March-Mid,4081
2012-March-Late,5719
2013-March-Early,3283
2013-March-Mid,3330
2013-March-Late,5283
2014-March-Early,3865
2014-March-Mid,4525
2014-March-Late,3536
2015-March-Early,6887
2015-March-Mid,5292
2015-March-Late,4432
2016-March-Early,7834
2016-March-Mid,6927
2016-March-Late,6123
2017-March-Early,7877
2017-March-Mid,6852
2017-March-Late,6170
2018-March-Early,4216
2018-March-Mid,3589
2018-March-Late,2758
2019-March-Early,4795
2019-March-Mid,3966
2019-March-Late,3831
2020-March-Early,5205
2020-March-Mid,4707
2020-March-Late,4472
2021-March-Early,6871
2021-March-Mid,5668
2021-March-Late,5091
2022-March-Early,8074
2022-March-Mid,7126
2022-March-Late,5254
2023-March-Early,6283
2023-March-Mid,5732
2023-March-Late,5021
2024-March-Early,8269
2024-March-Mid,8200
2024-March-Late,8257
2000-April-Early,1527
2000-April-Mid,1399
2000-April-Late,0
2001-April-Early,1352
2001-April-Mid,1531
2001-April-Late,1770
2002-April-Early,3142
2002-April-Mid,3225
2002-April-Late,1272
2003-April-Early,2857
2003-April-Mid,2748
2003-April-Late,3321
2004-April-Early,2503
2004-April-Mid,2108
2004-April-Late,3052
2005-April-Early,3145
2005-April-Mid,3386
2005-April-Late,2714
2006-April-Early,2750
2006-April-Mid,2851
2006-April-Late,3078
2007-April-Early,2733
2007-April-Mid,2430
2007-April-Late,2590
2008-April-Early,2768
2008-April-Mid,2998
2008-April-Late,3002
2009-April-Early,4775
2009-April-Mid,4814
2009-April-Late,2515
2010-April-Early,4829
2010-April-Mid,4569
2010-April-Late,4972
2011-April-Early,4271
2011-April-Mid,4213
2011-April-Late,5786
2012-April-Early,4115
2012-April-Mid,4158
2012-April-Late,4562
2013-April-Early,3015
2013-April-Mid,3416
2013-April-Late,3641
2014-April-Early,4059
2014-April-Mid,3736
2014-April-Late,3106
2015-April-Early,4656
2015-April-Mid,3561
2015-April-Late,3539
2016-April-Early,5049
2016-April-Mid,4730
2016-April-Late,4245
2017-April-Early,5032
2017-April-Mid,4230
2017-April-Late,3898
2018-April-Early,2448
2018-April-Mid,2653
2018-April-Late,3320
2019-April-Early,3576
2019-April-Mid,3616
2019-April-Late,3505
2020-April-Early,4547
2020-April-Mid,4724
2020-April-Late,5666
2021-April-Early,4608
2021-April-Mid,4575
2021-April-Late,5044
2022-April-Early,4539
2022-April-Mid,4443
2022-April-Late,4801
2023-April-Early,4747
2023-April-Mid,4701
2023-April-Late,5417
2024-April-Early,7465
2024-April-Mid,6951
2024-April-Late,8021
2000-May-Early,1756
2000-May-Mid,1976
2000-May-Late,0
2001-May-Early,2101
2001-May-Mid,2105
2001-May-Late,1494
2002-May-Early,3357
2002-May-Mid,3408
2002-May-Late,1951
2003-May-Early,2722
2003-May-Mid,2727
2003-May-Late,3290
2004-May-Early,2380
2004-May-Mid,2683
2004-May-Late,2698
2005-May-Early,3953
2005-May-Mid,3864
2005-May-Late,2158
2006-May-Early,2854
2006-May-Mid,2917
2006-May-Late,3910
2007-May-Early,2569
2007-May-Mid,3051
2007-May-Late,2768
2008-May-Early,3411
2008-May-Mid,3430
2008-May-Late,2480
2009-May-Early,4686
2009-May-Mid,4851
2009-May-Late,3249
2010-May-Early,4486
2010-May-Mid,4498
2010-May-Late,4803
2011-May-Early,4228
2011-May-Mid,4941
2011-May-Late,4429
2012-May-Early,3963
2012-May-Mid,3692
2012-May-Late,3997
2013-May-Early,4858
2013-May-Mid,5129
2013-May-Late,4063
2014-May-Early,4868
2014-May-Mid,4772
2014-May-Late,4318
2015-May-Early,5110
2015-May-Mid,4506
2015-May-Late,4832
2016-May-Early,4422
2016-May-Mid,5238
2016-May-Late,5455
2017-May-Early,3846
2017-May-Mid,4459
2017-May-Late,4621
2018-May-Early,4111
2018-May-Mid,4256
2018-May-Late,4447
2019-May-Early,3643
2019-May-Mid,4320
2019-May-Late,5457
2020-May-Early,6149
2020-May-Mid,6061
2020-May-Late,6434
2021-May-Early,5481
2021-May-Mid,5729
2021-May-Late,5276
2022-May-Early,5101
2022-May-Mid,5516
2022-May-Late,6599
2023-May-Early,6797
2023-May-Mid,7183
2023-May-Late,7994
2024-May-Early,8326
2024-May-Mid,8216
2024-May-Late,8115
2000-June-Early,2781
2000-June-Mid,2838
2000-June-Late,0
2001-June-Early,2220
2001-June-Mid,2113
2001-June-Late,2319
2002-June-Early,3841
2002-June-Mid,3929
2002-June-Late,2154
2003-June-Early,2779
2003-June-Mid,2880
2003-June-Late,3594
2004-June-Early,3061
2004-June-Mid,3056
2004-June-Late,2750
2005-June-Early,2966
2005-June-Mid,3313
2005-June-Late,2901
2006-June-Early,3385
2006-June-Mid,3939
2006-June-Late,3564
2007-June-Early,3873
2007-June-Mid,3418
2007-June-Late,2928
2008-June-Early,3886
2008-June-Mid,4226
2008-June-Late,3415
2009-June-Early,4780
2009-June-Mid,5102
2009-June-Late,3469
2010-June-Early,5010
2010-June-Mid,4745
2010-June-Late,4741
2011-June-Early,5404
2011-June-Mid,6555
2011-June-Late,4749
2012-June-Early,3639
2012-June-Mid,3716
2012-June-Late,5367
2013-June-Early,4907
2013-June-Mid,5163
2013-June-Late,3626
2014-June-Early,5336
2014-June-Mid,4724
2014-June-Late,5152
2015-June-Early,6172
2015-June-Mid,4444
2015-June-Late,4434
2016-June-Early,5501
2016-June-Mid,6120
2016-June-Late,6798
2017-June-Early,4420
2017-June-Mid,4354
2017-June-Late,5116
2018-June-Early,4794
2018-June-Mid,5197
2018-June-Late,5258
2019-June-Early,5944
2019-June-Mid,7084
2019-June-Late,7793
2020-June-Early,7018
2020-June-Mid,7062
2020-June-Late,6257
2021-June-Early,5210
2021-June-Mid,5831
2021-June-Late,5956
2022-June-Early,7714
2022-June-Mid,8653
2022-June-Late,10440
2023-June-Early,7869
2023-June-Mid,8866
2023-June-Late,10523
2024-June-Early,8710
2024-June-Mid,9302
2024-June-Late,10448
2000-July-Early,2636
2000-July-Mid,2404
2000-July-Late,0
2001-July-Early,2155
2001-July-Mid,1992
2001-July-Late,2731
2002-July-Early,3823
2002-July-Mid,3822
2002-July-Late,2150
2003-July-Early,3025
2003-July-Mid,3356
2003-July-Late,3894
2004-July-Early,3966
2004-July-Mid,3699
2004-July-Late,3002
2005-July-Early,4059
2005-July-Mid,4443
2005-July-Late,3264
2006-July-Early,3701
2006-July-Mid,3098
2006-July-Late,3524
2007-July-Early,2774
2007-July-Mid,3047
2007-July-Late,4144
2008-July-Early,4903
2008-July-Mid,4344
2008-July-Late,2869
2009-July-Early,6108
2009-July-Mid,6213
2009-July-Late,5123
2010-July-Early,6406
2010-July-Mid,7356
2010-July-Late,5602
2011-July-Early,7230
2011-July-Mid,5000
2011-July-Late,5160
2012-July-Early,6171
2012-July-Mid,5979
2012-July-Late,8608
2013-July-Early,4624
2013-July-Mid,4359
2013-July-Late,5247
2014-July-Early,4900
2014-July-Mid,5538
2014-July-Late,5083
2015-July-Early,6363
2015-July-Mid,6083
2015-July-Late,5770
2016-July-Early,6691
2016-July-Mid,6173
2016-July-Late,6299
2017-July-Early,5772
2017-July-Mid,5618
2017-July-Late,5899
2018-July-Early,5394
2018-July-Mid,7201
2018-July-Late,7134
2019-July-Early,7158
2019-July-Mid,7591
2019-July-Late,7187
2020-July-Early,6073
2020-July-Mid,5931
2020-July-Late,5291
2021-July-Early,5858
2021-July-Mid,5919
2021-July-Late,6860
2022-July-Early,10907
2022-July-Mid,10566
2022-July-Late,10165
2023-July-Early,9839
2023-July-Mid,10035
2023-July-Late,12177
2024-July-Early,11016
2024-July-Mid,10780
2024-July-Late,11177
2000-August-Early,2793
2000-August-Mid,2878
2000-August-Late,0
2001-August-Early,2389
2001-August-Mid,2971
2001-August-Late,2638
2002-August-Early,4143
2002-August-Mid,4340
2002-August-Late,1951
2003-August-Early,3686
2003-August-Mid,4318
2003-August-Late,3894
2004-August-Early,3082
2004-August-Mid,3155
2004-August-Late,3544
2005-August-Early,5552
2005-August-Mid,5694
2005-August-Late,2965
2006-August-Early,2800
2006-August-Mid,3096
2006-August-Late,4457
2007-August-Early,3987
2007-August-Mid,3972
2007-August-Late,2918
2008-August-Early,3923
2008-August-Mid,3603
2008-August-Late,3585
2009-August-Early,5979
2009-August-Mid,6164
2009-August-Late,4190
2010-August-Early,7405
2010-August-Mid,7159
2010-August-Late,6080
2011-August-Early,3914
2011-August-Mid,5199
2011-August-Late,7248
2012-August-Early,5634
2012-August-Mid,5958
2012-August-Late,3739
2013-August-Early,4457
2013-August-Mid,4319
2013-August-Late,5844
2014-August-Early,5028
2014-August-Mid,4723
2014-August-Late,4421
2015-August-Early,6865
2015-August-Mid,4354
2015-August-Late,4735
2016-August-Early,6414
2016-August-Mid,6546
2016-August-Late,7556
2017-August-Early,6094
2017-August-Mid,5954
2017-August-Late,5620
2018-August-Early,7005
2018-August-Mid,7335
2018-August-Late,7087
2019-August-Early,5966
2019-August-Mid,5611
2019-August-Late,5488
2020-August-Early,5584
2020-August-Mid,7278
2020-August-Late,9720
2021-August-Early,7700
2021-August-Mid,8592
2021-August-Late,8981
2022-August-Early,9408
2022-August-Mid,9029
2022-August-Late,9119
2023-August-Early,13689
2023-August-Mid,13075
2023-August-Late,11340
2024-August-Early,10813
2024-August-Mid,10667
2024-August-Late,12875
2000-September-Early,2472
2000-September-Mid,2343
2000-September-Late,0
2001-September-Early,4121
2001-September-Mid,4504
2001-September-Late,2751
2002-September-Early,5156
2002-September-Mid,5215
2002-September-Late,3652
2003-September-Early,3775
2003-September-Mid,3562
2003-September-Late,4624
2004-September-Early,3183
2004-September-Mid,2964
2004-September-Late,4122
2005-September-Early,4792
2005-September-Mid,3971
2005-September-Late,2956
2006-September-Early,4417
2006-September-Mid,5726
2006-September-Late,5638
2007-September-Early,3629
2007-September-Mid,3332
2007-September-Late,3696
2008-September-Early,3367
2008-September-Mid,3482
2008-September-Late,3658
2009-September-Early,7934
2009-September-Mid,8910
2009-September-Late,3208
2010-September-Early,5567
2010-September-Mid,4853
2010-September-Late,7352
2011-September-Early,6461
2011-September-Mid,6789
2011-September-Late,6394
2012-September-Early,6332
2012-September-Mid,5905
2012-September-Late,6197
2013-September-Early,4983
2013-September-Mid,5548
2013-September-Late,5859
2014-September-Early,5060
2014-September-Mid,5390
2014-September-Late,4381
2015-September-Early,6518
2015-September-Mid,5667
2015-September-Late,5353
2016-September-Early,7587
2016-September-Mid,6775
2016-September-Late,5454
2017-September-Early,5362
2017-September-Mid,4728
2017-September-Late,4778
2018-September-Early,6543
2018-September-Mid,5806
2018-September-Late,5665
2019-September-Early,5186
2019-September-Mid,5659
2019-September-Late,6084
2020-September-Early,10493
2020-September-Mid,10459
2020-September-Late,9994
2021-September-Early,7740
2021-September-Mid,7939
2021-September-Late,8222
2022-September-Early,10664
2022-September-Mid,10785
2022-September-Late,10106
2023-September-Early,9654
2023-September-Mid,8579
2023-September-Late,8603
2024-September-Early,14885
2024-September-Mid,13922
2024-September-Late,12180
2000-October-Early,1890
2000-October-Mid,1726
2000-October-Late,0
2001-October-Early,4105
2001-October-Mid,3508
2001-October-Late,2261
2002-October-Early,5416
2002-October-Mid,5136
2002-October-Late,4127
2003-October-Early,3589
2003-October-Mid,3191
2003-October-Late,5413
2004-October-Early,2851
2004-October-Mid,2867
2004-October-Late,3477
